chrom	length	bases	mean	min	max
scaffold_1	258050	10298542	39.91	0	471
scaffold_1_region	136209	5397599	39.63	11	97
scaffold_2	248132	9354286	37.70	0	253
scaffold_2_region	90518	3499601	38.66	9	85
scaffold_3	240340	9354848	38.92	1	161
scaffold_3_region	127816	4948513	38.72	10	85
scaffold_4	232527	8603220	37.00	0	134
scaffold_4_region	119979	4614234	38.46	11	76
scaffold_5	218268	10122799	46.38	0	2117
scaffold_5_region	78910	3023259	38.31	0	77
scaffold_6	216163	8031538	37.16	0	109
scaffold_6_region	101091	4119744	40.75	8	79
scaffold_7	215756	7924501	36.73	0	112
scaffold_7_region	114428	4416966	38.60	12	82
scaffold_8	204092	3950480	19.36	1	112
scaffold_8_region	91847	1696579	18.47	3	43
scaffold_9	200499	8082089	40.31	0	152
scaffold_9_region	100618	4063901	40.39	11	80
scaffold_10	193644	4359705	22.51	0	100
scaffold_10_region	112763	2608295	23.13	4	71
scaffold_11	192184	7259278	37.77	0	155
scaffold_11_region	83048	3334234	40.15	9	82
scaffold_12	190472	6697437	35.16	0	207
scaffold_12_region	78166	2906640	37.19	8	80
scaffold_13	188798	6935877	36.74	0	501
scaffold_13_region	103755	3777566	36.41	10	81
scaffold_14	188592	6473161	34.32	0	111
scaffold_14_region	59493	2447699	41.14	11	108
scaffold_15	184177	6833337	37.10	0	139
scaffold_15_region	101656	3929450	38.65	11	84
scaffold_16	184150	6701486	36.39	0	141
scaffold_16_region	55262	2296024	41.55	17	79
scaffold_17	182989	6413323	35.05	0	193
scaffold_17_region	78934	2973458	37.67	0	82
scaffold_18	180163	6283691	34.88	0	102
scaffold_18_region	88269	3263904	36.98	7	76
scaffold_19	177887	6528165	36.70	2	106
scaffold_19_region	81182	3094150	38.11	9	69
scaffold_20	177768	6512271	36.63	0	128
scaffold_20_region	60617	2509345	41.40	2	79
scaffold_21	176967	5847809	33.04	0	267
scaffold_21_region	62970	2398124	38.08	7	83
scaffold_22	176287	6070276	34.43	0	167
scaffold_22_region	58974	2423153	41.09	12	73
scaffold_23	175766	6236530	35.48	0	629
scaffold_23_region	82760	2997877	36.22	6	82
scaffold_24	175039	3621056	20.69	1	175
scaffold_24_region	89632	1803217	20.12	4	51
scaffold_25	172451	5514062	31.97	0	378
scaffold_25_region	50545	1910376	37.80	5	119
scaffold_26	171572	5019997	29.26	0	357
scaffold_26_region	45184	1638188	36.26	8	68
scaffold_27	169846	6680745	39.33	0	165
scaffold_27_region	73079	2977879	40.75	10	85
scaffold_28	169747	6856870	40.39	0	1722
scaffold_28_region	58343	2525716	43.29	11	103
scaffold_29	169516	6384206	37.66	0	191
scaffold_29_region	70883	2938889	41.46	0	86
scaffold_30	169002	6212752	36.76	0	258
scaffold_30_region	85501	3167848	37.05	10	94
scaffold_31	168851	6366315	37.70	0	244
scaffold_31_region	59185	2305220	38.95	14	73
scaffold_32	167463	5606903	33.48	0	116
scaffold_32_region	40570	1667986	41.11	8	91
scaffold_33	165556	5180268	31.29	0	104
scaffold_33_region	63118	1902605	30.14	0	75
scaffold_34	162450	5830472	35.89	0	157
scaffold_34_region	84802	3286485	38.75	13	75
scaffold_35	160431	6039504	37.65	0	276
scaffold_35_region	69984	2604875	37.22	4	75
scaffold_36	159974	6141402	38.39	0	111
scaffold_36_region	72173	2905899	40.26	6	84
scaffold_37	158115	5412569	34.23	0	192
scaffold_37_region	65558	2523247	38.49	0	99
scaffold_38	156265	2882166	18.44	0	63
scaffold_38_region	60703	1135787	18.71	3	41
scaffold_39	155734	5725131	36.76	0	79
scaffold_39_region	102598	3950871	38.51	13	78
scaffold_40	154948	5687462	36.71	0	307
scaffold_40_region	49836	1890062	37.93	6	72
scaffold_41	153622	4860644	31.64	0	86
scaffold_41_region	100556	3271388	32.53	0	74
scaffold_42	153425	3266170	21.29	1	168
scaffold_42_region	63634	1284084	20.18	1	51
