scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
JASJQH010000001.1	128.093149	38.666824	61.332216	117.115319	89.426325	66.760933	10.977831
JASJQH010000002.1	179.187260	132.805476	71.603676	109.613035	46.381783	107.583584	69.574224
JASJQH010000003.1	128.820700	-6.511040	34.848688	109.061414	135.331740	93.972012	19.759286
JASJQH010000004.1	227.823612	101.112791	95.320406	151.491714	126.710822	132.503207	76.331899
JASJQH010000005.1	238.280654	190.447875	137.977960	136.373072	47.832778	100.302694	101.907582
JASJQH010000006.1	206.567849	181.869393	109.458999	126.947864	24.698456	97.108851	79.619985
JASJQH010000007.1	167.029673	95.813696	93.774757	97.818167	71.215978	73.254916	69.211506
JASJQH010000008.1	50.398063	28.197170	49.816173	42.672632	22.200893	0.581891	7.725431
JASJQH010000009.1	129.373318	39.184375	47.638614	110.328080	90.188943	81.734703	19.045238
JASJQH010000010.1	112.916372	62.981421	73.376676	90.825953	49.934951	39.539696	22.090419
JASJQH010000011.1	176.267506	82.816662	89.367803	93.744445	93.450844	86.899703	82.523061
JASJQH010000012.1	142.138982	60.359072	66.517691	73.243956	81.779910	75.621291	68.895026
JASJQH010000013.1	148.125123	139.111874	109.903167	83.160094	9.013249	38.221956	64.965029
JASJQH010000014.1	241.522438	225.652238	159.048635	128.361272	15.870199	82.473803	113.161166
JASJQH010000015.1	140.462273	71.869321	68.894282	96.142606	68.592952	71.567991	44.319667
JASJQH010000016.1	53.795251	27.343156	46.302904	43.283046	26.452095	7.492347	10.512205
JASJQH010000017.1	65.522092	36.025748	46.729801	41.488677	29.496345	18.792292	24.033416
JASJQH010000018.1	213.821755	97.500492	200.937713	108.679221	116.321263	12.884042	105.142534
JASJQH010000019.1	132.723558	127.239068	97.011322	71.550821	5.484490	35.712236	61.172738
JASJQH010000020.1	64.482199	50.472245	56.600502	43.857973	14.009954	7.881697	20.624226
JASJQH010000021.1	87.162591	68.377346	73.949642	58.934335	18.785245	13.212949	28.228256
JASJQH010000022.1	151.451995	110.201559	90.445574	83.442666	41.250436	61.006420	68.009328
JASJQH010000023.1	117.389766	48.873723	63.695884	78.642180	68.516044	53.693883	38.747587
JASJQH010000024.1	157.698235	113.844165	85.803759	91.347330	43.854069	71.894475	66.350905
JASJQH010000025.1	171.224037	143.655753	91.393939	91.698649	27.568285	79.830098	79.525388
JASJQH010000026.1	80.105390	35.897793	45.743379	65.599252	44.207597	34.362011	14.506139
JASJQH010000027.1	150.757377	110.748421	79.120154	83.643834	40.008956	71.637223	67.113543
JASJQH010000028.1	214.675419	179.864530	113.292251	111.094372	34.810890	101.383169	103.581047
JASJQH010000029.1	110.856169	52.120893	51.753293	58.251601	58.735276	59.102876	52.604568
JASJQH010000030.1	95.267761	72.269026	90.714833	67.083893	22.998735	4.552928	28.183868
JASJQH010000031.1	115.195249	99.902709	71.915690	77.431791	15.292541	43.279559	37.763459
JASJQH010000032.1	48.379083	1.420869	15.114420	39.272081	46.958214	33.264662	9.107002
JASJQH010000033.1	118.612934	95.038036	71.575839	74.847387	23.574899	47.037095	43.765548
JASJQH010000034.1	67.628698	36.123182	43.026424	57.418674	31.505516	24.602274	10.210024
JASJQH010000035.1	89.669840	42.741789	49.859091	81.072758	46.928051	39.810749	8.597083
JASJQH010000036.1	775.902308	-75.380121	59.759805	477.580406	851.282430	716.142504	298.321902
JASJQH010000037.1	75.837741	30.615461	39.762027	70.507781	45.222280	36.075713	5.329960
JASJQH010000038.1	141.745380	24.005002	56.189421	106.734721	117.740379	85.555960	35.010659
JASJQH010000039.1	114.244916	20.321403	41.583093	79.113100	93.923513	72.661823	35.131817
JASJQH010000040.1	132.155427	69.749244	59.887667	86.806470	62.406182	72.267760	45.348957
JASJQH010000041.1	-nan	-37.980492	39.645879	256.377523	-nan	-nan	-nan
JASJQH010000042.1	133.001074	126.275755	80.654251	72.577632	6.725319	52.346823	60.423442
JASJQH010000043.1	-nan	-50.022246	25.617543	266.771040	-nan	-nan	-nan
JASJQH010000044.1	88.479482	47.011294	41.940184	61.772581	41.468188	46.539298	26.706900
JASJQH010000045.1	97.214999	47.093697	42.147994	55.023512	50.121302	55.067005	42.191487
JASJQH010000046.1	127.932400	105.108415	60.967297	74.033067	22.823985	66.965103	53.899333
JASJQH010000047.1	121.528671	76.720762	63.248539	61.544539	44.807910	58.280132	59.984132
JASJQH010000048.1	115.961585	73.497706	62.429599	56.248186	42.463878	53.531985	59.713399
JASJQH010000049.1	474.516958	56.281371	53.154562	48.047821	418.235586	421.362396	426.469136
JASJQH010000050.1	1183.341760	-52.116993	36.101035	306.455583	1235.458753	1147.240725	876.886177
JASJQH010000051.1	81.870037	48.891913	58.277562	60.173967	32.978124	23.592476	21.696071
JASJQH010000052.1	292.602667	180.166549	164.372687	139.674221	112.436118	128.229980	152.928446
JASJQH010000053.1	62.516185	51.189557	47.389979	45.003268	11.326629	15.126206	17.512918
JASJQH010000054.1	94.710544	62.976004	53.622138	47.147724	31.734540	41.088406	47.562820
JASJQH010000055.1	137.966603	132.150722	97.463146	81.380418	5.815880	40.503456	56.586185
JASJQH010000056.1	629.228456	-67.712472	18.935981	325.888014	696.940928	610.292475	303.340442
JASJQH010000057.1	99.092937	77.355881	70.672376	57.754430	21.737055	28.420560	41.338507
JASJQH010000058.1	912.637307	-58.471599	30.316949	325.337861	971.108905	882.320357	587.299445
JASJQH010000059.1	86.273551	41.405542	59.745868	74.742740	44.868009	26.527683	11.530811
JASJQH010000060.1	165.827896	58.495352	62.819585	110.280606	107.332544	103.008311	55.547290
JASJQH010000061.1	70.993556	33.366604	35.718481	56.529093	37.626952	35.275074	14.464463
JASJQH010000062.1	-nan	-46.203607	29.426688	276.096615	-nan	-nan	-nan
JASJQH010000063.1	65.844466	28.627507	34.311606	50.097513	37.216960	31.532860	15.746953
JASJQH010000064.1	83.063451	64.047251	60.339391	55.973577	19.016200	22.724060	27.089873
JASJQH010000065.1	63.010036	11.248159	27.500645	53.595308	51.761877	35.509391	9.414728
JASJQH010000066.1	3196.062998	-42.050442	36.016654	3019.325254	3238.113440	3160.046344	176.737744
JASJQH010000067.1	79.259822	58.601734	44.468035	31.845176	20.658088	34.791787	47.414645
JASJQH010000068.1	145.822686	140.676897	103.966485	79.040144	5.145789	41.856201	66.782542
JASJQH010000069.1	59.298710	24.505237	33.274871	47.165547	34.793472	26.023839	12.133162
JASJQH010000070.1	298.777411	9.597930	138.472435	252.817831	289.179481	160.304976	45.959580
JASJQH010000071.1	718.655606	-42.123290	10.872534	197.596281	760.778895	707.783072	521.059324
JASJQH010000072.1	54.699562	-3.971153	0.189927	17.661471	58.670715	54.509635	37.038090
JASJQH010000073.1	51.139845	38.189877	44.079159	37.169472	12.949968	7.060686	13.970372
JASJQH010000074.1	122.807048	44.523972	48.221493	92.914701	78.283076	74.585555	29.892348
JASJQH010000075.1	79.537472	25.373505	35.352139	37.783918	54.163967	44.185333	41.753554
JASJQH010000076.1	109.219717	-2.478159	19.847037	80.818516	111.697876	89.372680	28.401201
JASJQH010000077.1	61.857720	33.685402	40.453187	55.815151	28.172318	21.404533	6.042569
JASJQH010000078.1	84.731820	70.703884	61.287543	47.423544	14.027936	23.444277	37.308276
JASJQH010000079.1	52.788583	47.294638	38.319084	30.520873	5.493945	14.469499	22.267710
JASJQH010000080.1	131.344519	40.315520	42.602314	60.488306	91.028999	88.742205	70.856213
JASJQH010000081.1	119.008464	45.594742	60.136445	57.880863	73.413722	58.872019	61.127601
JASJQH010000082.1	90.234468	30.091863	44.026124	52.033521	60.142605	46.208344	38.200947
JASJQH010000083.1	280.086980	-22.556355	20.924123	144.836105	302.643336	259.162857	135.250875
JASJQH010000084.1	135.998444	122.984830	97.636940	79.026872	13.013614	38.361504	56.971571
JASJQH010000085.1	58.434239	38.707293	33.087967	39.654178	19.726945	25.346271	18.780061
JASJQH010000086.1	569.873377	-53.983932	45.616282	348.304749	623.857308	524.257095	221.568627
JASJQH010000087.1	121.234771	31.980165	47.541469	117.724465	89.254606	73.693302	3.510307
JASJQH010000088.1	258.443225	242.807636	181.099598	138.307487	15.635589	77.343626	120.135737
JASJQH010000089.1	122.544618	58.036161	92.583254	97.635012	64.508456	29.961363	24.909606
