scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	8883.095840	39.068589	3623.619037	7329.751019	8844.027251	5259.476803	1553.344821
scaffold_2	4010.212435	-63.000732	1261.809156	3263.194466	4073.213167	2748.403279	747.017970
scaffold_3	2582.359891	154.631727	1146.555584	2141.526369	2427.728164	1435.804307	440.833522
scaffold_4	4591.118630	73.639214	1945.358811	3452.431524	4517.479416	2645.759820	1138.687106
scaffold_5	3492.398231	238.976673	1789.888295	2655.133719	3253.421558	1702.509936	837.264513
scaffold_6	3532.356936	-172.182784	726.895912	2407.848650	3704.539719	2805.461024	1124.508285
scaffold_7	4537.068165	-134.935290	1324.899853	3407.054860	4672.003455	3212.168312	1130.013305
scaffold_8	2107.280935	321.825680	1006.040755	1521.360441	1785.455255	1101.240180	585.920494
scaffold_9	4208.963482	321.896474	2333.692944	3528.309524	3887.067009	1875.270538	680.653958
scaffold_10	3199.016382	465.428321	1988.902360	1875.311288	2733.588061	1210.114022	1323.705094
scaffold_11	3350.560129	-163.102154	700.740445	2300.050762	3513.662284	2649.819684	1050.509367
scaffold_12	3227.484162	-144.140061	791.200812	2403.879246	3371.624223	2436.283350	823.604917
scaffold_13	6193.501951	307.147335	2956.516072	5090.055270	5886.354616	3236.985879	1103.446680
scaffold_14	3944.065636	-61.546856	1336.426075	3064.278832	4005.612492	2607.639561	879.786803
scaffold_15	3693.530608	90.405105	1611.722827	2630.950895	3603.125503	2081.807781	1062.579712
scaffold_16	3788.077143	-18.729096	1463.076906	2853.684520	3806.806238	2325.000237	934.392622
scaffold_17	2747.107322	325.850803	1628.629729	2055.521114	2421.256518	1118.477593	691.586207
scaffold_18	3135.708437	-142.758850	684.063169	2149.643078	3278.467287	2451.645268	986.065359
scaffold_19	3123.831744	-152.276887	635.001582	2122.344980	3276.108631	2488.830161	1001.486763
scaffold_20	4248.701408	-175.243576	1096.874336	3025.012384	4423.944984	3151.827072	1223.689024
scaffold_21	2692.843094	-115.785812	592.781895	1887.031760	2808.628906	2100.061199	805.811333
scaffold_22	3125.221771	-56.404641	838.718926	2463.430473	3181.626412	2286.502844	661.791298
scaffold_23	1666.863124	72.676495	683.884761	1522.706838	1594.186629	982.978363	144.156286
scaffold_24	2641.198088	-107.492020	600.293378	1877.828774	2748.690108	2040.904710	763.369314
scaffold_25	4836.197978	253.677332	2472.164587	3655.915963	4582.520646	2364.033391	1180.282015
scaffold_26	14624.633383	-340.171511	4412.309255	12130.659967	14964.804894	10212.324128	2493.973416
scaffold_27	4273.911754	307.540857	2367.290806	3303.785504	3966.370898	1906.620948	970.126250
scaffold_28	3097.827845	152.359375	1602.662757	2480.713042	2945.468470	1495.165088	617.114803
scaffold_29	3197.213927	-119.622323	843.609894	2259.001449	3316.836250	2353.604033	938.212479
scaffold_30	4764.395479	-187.702813	1150.875247	3581.031710	4952.098292	3613.520232	1183.363768
scaffold_31	2025.046573	122.532850	941.593407	1449.133126	1902.513723	1083.453166	575.913447
scaffold_32	2436.657050	-19.060674	750.433614	1974.746557	2455.717724	1686.223436	461.910493
scaffold_33	3279.733787	-98.795443	894.555705	2581.730148	3378.529230	2385.178082	698.003638
scaffold_34	7473.121269	925.361995	4516.977475	4842.489921	6547.759274	2956.143793	2630.631347
scaffold_35	3208.265069	-168.311850	633.906671	2292.865795	3376.576919	2574.358398	915.399274
scaffold_36	4736.285992	-145.713337	1218.903210	3307.139430	4881.999329	3517.382781	1429.146562
scaffold_37	2660.227059	247.928312	1585.530255	2088.333973	2412.298747	1074.696804	571.893086
scaffold_38	2697.862986	-142.221815	537.625282	1830.653023	2840.084801	2160.237703	867.209963
scaffold_39	8064.566853	-89.136968	2673.823587	6816.551936	8153.703820	5390.743266	1248.014916
scaffold_40	2758.408734	-128.081963	552.169193	1908.389084	2886.490697	2206.239542	850.019650
scaffold_41	2642.296653	-133.821390	598.758300	1949.447006	2776.118044	2043.538353	692.849647
scaffold_42	2890.019390	1665.662417	1215.799892	2248.616935	1224.356972	1674.219498	641.402455
scaffold_43	7700.528959	133.826952	1544.685743	6031.491894	7566.702007	6155.843217	1669.037066
scaffold_44	1835.285262	101.174295	625.971538	1405.005814	1734.110967	1209.313723	430.279448
scaffold_45	2638.481602	266.711784	1553.789207	2199.935919	2371.769818	1084.692395	438.545683
scaffold_46	5954.498981	-208.635245	1590.909918	4762.441891	6163.134226	4363.589063	1192.057090
scaffold_47	1664.533060	267.709492	563.083724	1388.352068	1396.823568	1101.449336	276.180992
scaffold_48	2765.796513	-91.727729	777.376076	2146.414893	2857.524242	1988.420437	619.381620
scaffold_49	2642.816660	-131.004227	565.838318	1930.272540	2773.820887	2076.978342	712.544119
scaffold_50	2232.180022	11.680777	886.299792	1785.043417	2220.499245	1345.880231	447.136605
scaffold_51	1666.244790	310.403995	802.254090	1246.270307	1355.840795	863.990699	419.974483
scaffold_52	2657.674746	-79.414292	740.860282	1987.378886	2737.089038	1916.814465	670.295860
scaffold_53	10648.440864	-540.865523	2463.023092	8195.325148	11189.306387	8185.417772	2453.115716
scaffold_54	2288.316247	-111.540273	489.938009	1600.335130	2399.856520	1798.378238	687.981117
scaffold_55	2427.267502	-137.029924	550.713783	1795.873350	2564.297426	1876.553719	631.394153
scaffold_56	4435.688880	270.474731	2313.421489	3501.014657	4165.214149	2122.267390	934.674223
scaffold_57	2457.503697	431.248539	1620.218566	1700.665191	2026.255159	837.285131	756.838506
scaffold_58	2479.332142	6.966688	848.676180	2048.083511	2472.365453	1630.655962	431.248630
scaffold_59	2684.342951	-132.350390	603.215572	1950.983456	2816.693341	2081.127379	733.359495
