scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	2048.844919	-199.744043	49.545230	869.370352	2248.588961	1999.299689	1179.474566
scaffold_2	1413.079161	21.435347	138.163356	762.271761	1391.643814	1274.915805	650.807400
scaffold_3	5104.458378	1792.674504	952.025197	4248.838911	3311.783874	4152.433181	855.619468
scaffold_4	26351.264908	5647.178704	21396.446524	5008.581089	20704.086204	4954.818384	21342.683819
scaffold_5	30.696552	21.012243	7.016143	12.645035	9.684308	23.680409	18.051516
scaffold_6	335.854778	241.731518	146.650302	104.357606	94.123260	189.204476	231.497172
scaffold_7	22.222248	4.978311	15.011188	6.783978	17.243937	7.211061	15.438270
scaffold_8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_9	575.785543	334.185729	138.291446	152.884016	241.599814	437.494096	422.901527
scaffold_10	15.525956	2.799771	2.308052	11.691892	12.726184	13.217904	3.834064
scaffold_11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_13	-nan	0.246835	2.034271	1.904686	-nan	-nan	-nan
scaffold_14	18845.687827	6927.949293	6893.133086	2767.190082	11917.738534	11952.554741	16078.497745
scaffold_15	1171.284742	147.614219	152.723962	676.595928	1023.670523	1018.560780	494.688814
scaffold_16	-nan	0.335801	2.515660	1.533500	-nan	-nan	-nan
scaffold_17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_18	445.633598	6.076950	154.514829	374.966319	439.556648	291.118769	70.667279
scaffold_19	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_21	-nan	-62.961606	5.061661	293.185531	-nan	-nan	-nan
scaffold_22	24.883687	-1.263391	1.186706	6.836366	26.147078	23.696981	18.047321
scaffold_23	-nan	0.020385	2.146592	8.769082	-nan	-nan	-nan
scaffold_24	18.235378	13.657714	4.341367	7.503624	4.577664	13.894012	10.731754
scaffold_25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_26	290.546783	9.962011	142.961225	269.054766	280.584772	147.585558	21.492017
scaffold_27	861.196909	102.358593	19.565815	99.348072	758.838316	841.631094	761.848837
scaffold_28	-nan	0.468421	3.497840	1.157854	-nan	-nan	-nan
scaffold_29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_30	nan	-0.402534	-0.076138	1.395077	nan	nan	nan
scaffold_31	-nan	1.983720	0.843810	0.851919	-nan	-nan	-nan
scaffold_32	nan	-0.429931	-0.138455	1.244564	nan	nan	nan
scaffold_33	nan	0.256970	2.086754	1.857705	nan	nan	nan
scaffold_34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_36	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_37	-nan	1.243307	2.224412	0.512111	-nan	-nan	-nan
scaffold_38	nan	0.072697	1.294516	3.271473	nan	nan	nan
scaffold_39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_41	560.713047	71.057958	436.253064	154.719808	489.655089	124.459983	405.993239
scaffold_42	3354.098089	471.749666	275.905762	195.940572	2882.348423	3078.192327	3158.157517
scaffold_43	-nan	-15.221265	17.017306	120.561650	-nan	-nan	-nan
scaffold_44	2.652998	2.647909	0.717137	1.263872	0.005089	1.935862	1.389126
scaffold_45	94.523823	0.144564	32.578579	71.216123	94.379259	61.945243	23.307700
scaffold_46	-nan	1.133794	2.886815	0.544799	-nan	-nan	-nan
scaffold_47	38.863336	-3.232103	2.798960	21.806264	42.095439	36.064376	17.057072
scaffold_48	1487.788928	121.788767	813.913594	298.483233	1366.000161	673.875334	1189.305695
scaffold_49	5.598852	5.598852	1.421871	2.786135	0.000000	4.176981	2.812717
scaffold_50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_51	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_52	-nan	-0.314197	0.135337	1.980608	-nan	-nan	-nan
scaffold_53	17.820237	17.820237	2.118124	11.810613	0.000000	15.702114	6.009624
scaffold_54	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_55	9.870395	3.851691	6.481302	4.593439	6.018705	3.389094	5.276957
scaffold_56	543.655905	42.665677	322.592639	359.613587	500.990228	221.063266	184.042318
scaffold_57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_58	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_59	264.474105	59.190754	57.327060	88.913346	205.283351	207.147045	175.560760
scaffold_60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_61	1829.178416	1819.464716	629.328641	535.016436	9.713700	1199.849775	1294.161979
scaffold_62	57.565574	-3.192633	5.868927	32.564852	60.758207	51.696647	25.000722
scaffold_63	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_64	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_66	1377.594684	3.431356	127.043715	403.936177	1374.163328	1250.550969	973.658507
scaffold_67	15198.746354	9042.906116	3732.870969	4006.694922	6155.840238	11465.875385	11192.051433
scaffold_68	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_69	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_70	363.688978	5.324084	9.387531	3.538411	358.364894	354.301447	360.150567
scaffold_71	-nan	1.248768	2.225316	0.516978	-nan	-nan	-nan
scaffold_72	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_73	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_74	32.643892	14.550843	27.465868	24.305801	18.093049	5.178024	8.338091
scaffold_75	419.726347	37.274481	254.895919	159.695781	382.451866	164.830428	260.030566
scaffold_76	338.504013	338.496293	71.493090	177.974193	0.007720	267.010923	160.529820
scaffold_77	nan	-0.429931	-0.138455	1.244564	nan	nan	nan
scaffold_78	-nan	0.264871	2.118071	1.813008	-nan	-nan	-nan
scaffold_79	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_80	35.292987	3.761072	23.651295	22.757373	31.531915	11.641692	12.535614
scaffold_81	-nan	87.860245	914.176450	1345.284634	-nan	-nan	-nan
scaffold_82	7.921343	4.500745	6.970444	4.246230	3.420599	0.950900	3.675114
scaffold_83	-nan	0.000583	2.079600	9.301881	-nan	-nan	-nan
scaffold_84	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_86	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_87	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_88	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_89	1483.260073	208.939748	833.905800	130.775862	1274.320325	649.354272	1352.484211
scaffold_90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_91	4.238236	4.199015	0.708546	2.413832	0.039221	3.529690	1.824404
scaffold_92	13.155942	13.154395	2.833443	6.828123	0.001547	10.322500	6.327820
scaffold_93	nan	-0.450032	-0.183172	1.141118	nan	nan	nan
scaffold_94	nan	0.793544	0.827202	3.215648	nan	nan	nan
scaffold_95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_96	38.539448	1.008581	8.216756	7.488467	37.530867	30.322692	31.050982
scaffold_97	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_98	1234.584598	1234.385315	167.343228	774.992464	0.199283	1067.241371	459.592134
scaffold_99	-nan	1070.261570	230.615485	576.974012	-nan	-nan	-nan
scaffold_100	2231.984385	572.068984	1824.717711	649.284237	1659.915401	407.266674	1582.700148
scaffold_101	-nan	-0.424193	-0.123244	1.284133	-nan	-nan	-nan
scaffold_102	68.830137	55.064862	25.938416	43.028011	13.765276	42.891721	25.802127
scaffold_103	12310.608832	-708.108249	-141.888603	2124.640101	13018.717081	12452.497435	10185.968730
scaffold_104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_106	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_107	13762.151583	418.978473	1443.161302	335.680904	13343.173111	12318.990281	13426.470680
