scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	1333.836358	-19.702940	496.852499	999.950618	1353.539298	836.983858	333.885739
scaffold_2	1170.947794	27.877455	547.788919	967.815328	1143.070339	623.158874	203.132466
scaffold_3	1177.471739	-29.421447	419.352822	973.280588	1206.893186	758.118917	204.191151
scaffold_4	1062.384862	-87.873420	182.303822	761.195523	1150.258281	880.081040	301.189339
scaffold_5	3487.881376	2709.357591	2070.113208	1679.151309	778.523786	1417.768168	1808.730067
scaffold_6	606.454591	340.073843	354.166591	301.544914	266.380748	252.288000	304.909676
scaffold_7	2739.649698	-290.815539	337.515058	1812.367945	3030.465237	2402.134640	927.281753
scaffold_8	877.878949	99.171937	426.384589	704.552057	778.707012	451.494360	173.326892
scaffold_9	10864.126094	4994.170877	9680.049619	6431.849083	5869.955217	1184.076475	4432.277011
scaffold_10	7933.232460	3079.248193	6598.750098	3947.698110	4853.984268	1334.482362	3985.534350
scaffold_11	3551.411127	2753.353252	1232.792948	1973.889795	798.057876	2318.618180	1577.521332
scaffold_12	725.185902	28.038706	226.577699	539.899415	697.147196	498.608202	185.286486
scaffold_13	111213.985280	274.656746	498.859433	914.644367	110939.328534	110715.125847	110299.340914
scaffold_14	835.826574	493.826693	429.229679	712.380462	341.999881	406.596895	123.446112
scaffold_15	20154.472314	1569.165250	11145.271522	18393.472754	18585.307064	9009.200792	1760.999560
scaffold_16	614.669629	-41.330490	152.453928	478.207610	656.000120	462.215701	136.462019
scaffold_17	1572.692759	985.168504	1013.816804	982.718825	587.524255	558.875955	589.973935
scaffold_18	17337.529782	8524.160311	10212.485596	14529.977390	8813.369471	7125.044185	2807.552392
scaffold_19	10434.093375	8511.213743	6234.582564	6278.830842	1922.879632	4199.510811	4155.262533
scaffold_20	2550.372835	1845.273921	1272.474384	1429.763509	705.098915	1277.898451	1120.609327
scaffold_21	5939.596486	1914.617981	2928.709702	4388.343721	4024.978505	3010.886784	1551.252766
scaffold_22	1514.076891	79.285500	357.091882	868.986653	1434.791391	1156.985009	645.090238
scaffold_23	1352.994199	-85.125592	319.594470	1033.548746	1438.119790	1033.399729	319.445453
scaffold_24	1953.485680	914.475160	720.124782	865.016241	1039.010520	1233.360898	1088.469439
scaffold_25	5086.527733	4715.422918	3933.507407	2879.810995	371.104815	1153.020326	2206.716738
scaffold_26	731.268298	0.113687	290.983105	575.432415	731.154612	440.285193	155.835883
scaffold_27	3465.144479	2365.988311	1446.811078	2278.738181	1099.156168	2018.333401	1186.406298
scaffold_28	3021.929887	-224.312817	530.858309	2300.528577	3246.242704	2491.071579	721.401311
scaffold_29	455.227790	-2.279189	179.167723	361.025372	457.506979	276.060067	94.202418
scaffold_30	507.280961	89.230487	366.971697	412.268140	418.050474	140.309264	95.012821
scaffold_31	5416.133662	1335.049145	5068.905136	1428.904324	4081.084517	347.228526	3987.229337
scaffold_32	933.394717	13.441631	418.797365	784.235635	919.953086	514.597352	149.159083
scaffold_33	8476.190577	7542.052972	3736.946185	4696.457469	934.137604	4739.244392	3779.733108
scaffold_34	11992.574686	11382.832254	4916.217505	6706.467312	609.742432	7076.357181	5286.107374
scaffold_35	998.577779	586.685532	715.510706	313.594554	411.892246	283.067073	684.983225
scaffold_36	1112.274573	-45.718543	348.256343	920.951633	1157.993116	764.018230	191.322940
scaffold_37	577.577141	-43.260356	131.510608	375.140683	620.837498	446.066533	202.436458
scaffold_38	955.141437	649.354247	546.711948	602.158372	305.787190	408.429489	352.983066
scaffold_39	591.707831	397.049956	480.993604	437.345999	194.657875	110.714228	154.361833
scaffold_40	10142.893870	4244.138004	6745.084038	8408.108712	5898.755866	3397.809832	1734.785158
scaffold_41	405.237100	-6.577975	156.178036	317.385825	411.815075	249.059065	87.851276
scaffold_42	1326.101262	1087.690087	837.898194	699.987778	238.411175	488.203068	626.113484
scaffold_43	3548.104858	50.759449	487.974006	1905.554732	3497.345409	3060.130851	1642.550126
scaffold_44	1077.539989	545.429600	620.513187	435.073238	532.110390	457.026802	642.466751
scaffold_45	6113.785870	-134.773061	2037.299388	5160.052959	6248.558932	4076.486482	953.732911
scaffold_46	747.864995	142.172471	251.695716	448.488514	605.692524	496.169279	299.376481
scaffold_47	3343.122689	2861.406780	1366.661715	1949.580741	481.715909	1976.460974	1393.541948
scaffold_48	906.667567	-75.290092	187.777374	673.658611	981.957659	718.890192	233.008955
scaffold_49	17902.476371	3925.996345	8746.702522	13650.054365	13976.480026	9155.773849	4252.422006
scaffold_50	1327.492126	-115.219988	151.558389	828.524996	1442.712114	1175.933737	498.967130
scaffold_51	9120.653438	5330.513704	8774.451791	4834.392081	3790.139733	346.201647	4286.261357
scaffold_52	838.673960	-26.892329	259.676405	709.592292	865.566288	578.997554	129.081668
scaffold_53	743.772275	-71.284286	105.007513	483.869406	815.056561	638.764762	259.902869
scaffold_54	1389.961411	29.476832	650.562799	1176.848068	1360.484578	739.398611	213.113342
scaffold_55	2699.283970	1376.605600	2032.820507	1933.717249	1322.678370	666.463464	765.566722
scaffold_56	1199.027626	504.505463	394.608793	845.126840	694.522162	804.418832	353.900786
scaffold_57	1658.244580	-15.354598	600.863400	1213.535533	1673.599178	1057.381180	444.709047
scaffold_58	4391.549535	-17.615235	1605.171313	3250.076682	4409.164770	2786.378222	1141.472853
scaffold_59	1773.531371	499.732579	1338.019179	1332.830771	1273.798793	435.512192	440.700600
scaffold_60	3473.714324	1374.750038	1362.199444	2351.563987	2098.964286	2111.514880	1122.150336
scaffold_61	3610.547351	1278.967947	1169.487525	2618.493426	2331.579404	2441.059826	992.053925
scaffold_62	375.787719	11.839829	156.711117	325.021173	363.947891	219.076602	50.766546
scaffold_63	8945.590832	7445.923937	2785.326821	5224.609851	1499.666895	6160.264010	3720.980981
scaffold_64	487.051042	3.467139	230.628939	367.671800	483.583903	256.422104	119.379242
scaffold_65	947.422898	769.183633	465.509145	399.797071	178.239265	481.913752	547.625827
scaffold_66	966.322787	788.037818	460.662907	485.117512	178.284969	505.659880	481.205275
scaffold_67	673.677588	-9.879672	261.603288	520.277280	683.557260	412.074301	153.400308
scaffold_68	1715.810594	182.012984	1127.120988	1183.251192	1533.797610	588.689607	532.559403
scaffold_69	3547.450550	1814.756585	1245.440642	1760.568842	1732.693966	2302.009908	1786.881708
scaffold_70	1627.959793	-107.106048	234.532834	1081.143754	1735.065841	1393.426959	546.816039
scaffold_71	4067.498759	950.179931	2025.285687	3954.303932	3117.318828	2042.213072	113.194828
scaffold_72	522.649563	68.126166	294.428834	441.853105	454.523397	228.220729	80.796458
scaffold_73	778.830575	-61.097917	166.469449	598.270737	839.928492	612.361126	180.559838
scaffold_74	1805.993625	100.776826	968.916993	1453.207151	1705.216799	837.076632	352.786474
scaffold_75	6125.838709	-126.188926	1756.411529	5407.912171	6252.027634	4369.427180	717.926538
scaffold_76	1881.923902	250.059579	657.579231	1760.863332	1631.864324	1224.344671	121.060571
scaffold_77	1254.516746	543.676620	1081.290748	727.193507	710.840126	173.225998	527.323239
scaffold_78	1732.965764	-148.102576	223.897135	1160.909737	1881.068340	1509.068629	572.056027
scaffold_79	670.834564	-54.716096	127.458504	487.915113	725.550661	543.376061	182.919452
scaffold_80	1154.151485	798.183686	518.169665	560.708086	355.967799	635.981820	593.443399
scaffold_81	-157.248086	-159.015953	137.472342	824.346230	1.767867	-294.720427	-981.594315
scaffold_82	2201.799638	613.313484	1679.352056	1831.402959	1588.486154	522.447582	370.396679
scaffold_83	3510.781707	3443.354911	1573.032390	1877.262251	67.426796	1937.749317	1633.519456
scaffold_84	4060.147686	494.658364	1284.946900	3684.235913	3565.489322	2775.200786	375.911773
scaffold_85	464.121005	-0.823922	182.084664	341.218903	464.944926	282.036341	122.902102
scaffold_86	11574.217550	3115.451304	9700.770456	5885.305487	8458.766245	1873.447093	5688.912063
scaffold_87	517.687575	200.012290	266.067621	322.738763	317.675285	251.619955	194.948812
scaffold_88	10460.546387	4095.034365	8207.750410	2373.955403	6365.512022	2252.795977	8086.590984
scaffold_89	3087.582695	1132.531679	2500.137060	1435.635370	1955.051017	587.445635	1651.947326
scaffold_90	7630.304327	-610.551929	391.935414	3819.972185	8240.856256	7238.368913	3810.332142
scaffold_91	3155.694043	15.232725	611.615149	2124.873035	3140.461318	2544.078894	1030.821008
scaffold_92	290.363966	-11.919360	85.464175	203.087653	302.283326	204.899791	87.276313
scaffold_93	2534.413161	2259.507019	989.427388	1408.025980	274.906142	1544.985773	1126.387181
scaffold_94	2903.778208	693.218861	2488.571179	2064.892164	2210.559347	415.207030	838.886045
scaffold_95	2216.022861	2034.327950	1062.061173	1194.086122	181.694911	1153.961688	1021.936739
scaffold_96	517.359208	-13.497870	183.520625	431.441334	530.857078	333.838583	85.917875
scaffold_97	1483.410898	978.735971	679.107079	805.650275	504.674928	804.303820	677.760624
scaffold_98	1630.178313	1008.782729	744.626194	724.811027	621.395585	885.552120	905.367286
scaffold_99	770.243219	508.100824	414.386276	617.387704	262.142395	355.856943	152.855515
scaffold_100	865.018492	29.696756	399.639168	747.317846	835.321736	465.379323	117.700645
scaffold_101	109955.859492	782.350790	1103.138615	694.616931	109173.508702	108852.720877	109261.242561
scaffold_102	370.930856	-0.334231	153.130525	290.902690	371.265086	217.800331	80.028165
scaffold_103	1404.322591	913.189793	790.683205	813.437262	491.132798	613.639386	590.885329
scaffold_104	320.346760	-13.475909	102.356317	253.358142	333.822668	217.990443	66.988617
scaffold_105	853.857154	227.667458	430.732380	724.700538	626.189696	423.124774	129.156616
scaffold_106	1305.101118	1081.952952	793.251729	590.826290	223.148165	511.849389	714.274828
