scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	587.683953	117.770308	404.173145	559.020739	469.913646	183.510808	28.663214
scaffold_2	631.273188	90.192405	379.663990	603.854808	541.080783	251.609198	27.418379
scaffold_3	212.266676	115.830743	153.812837	156.575269	96.435934	58.453839	55.691407
scaffold_4	176.439443	66.190978	116.780694	135.614393	110.248465	59.658749	40.825049
scaffold_5	223.636927	9.437413	75.712922	204.449499	214.199514	147.924005	19.187428
scaffold_6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_7	184.118132	22.921719	60.908434	134.540319	161.196413	123.209699	49.577813
scaffold_8	264.924682	85.008754	168.667748	220.614247	179.915928	96.256934	44.310435
scaffold_9	273.049603	65.637644	95.608952	225.213135	207.411959	177.440651	47.836468
scaffold_10	342.873494	24.852482	109.595304	292.292944	318.021012	233.278190	50.580550
scaffold_11	38.932595	7.781502	9.814629	24.374957	31.151093	29.117966	14.557638
scaffold_12	169.309253	68.218055	114.078510	150.447048	101.091198	55.230743	18.862205
scaffold_13	222.278817	142.531369	196.946166	89.336498	79.747449	25.332651	132.942320
scaffold_14	74.157534	8.642581	30.907401	61.087094	65.514953	43.250133	13.070440
scaffold_15	67.162494	24.004395	38.282817	57.139486	43.158099	28.879677	10.023008
scaffold_16	251.164254	34.914882	137.534378	243.824382	216.249372	113.629876	7.339872
scaffold_17	135.475034	53.532404	73.396225	66.117135	81.942630	62.078810	69.357899
scaffold_18	293.053386	93.609135	222.753656	259.237591	199.444251	70.299730	33.815795
scaffold_19	310.075519	143.754870	133.636163	174.156268	166.320649	176.439357	135.919252
scaffold_20	198.964841	52.271491	112.763219	181.131739	146.693351	86.201623	17.833102
scaffold_21	175.900722	56.932821	130.227549	120.562112	118.967902	45.673173	55.338610
scaffold_22	305.510280	47.174260	87.541561	206.317402	258.336020	217.968719	99.192878
scaffold_23	94.498177	18.817698	43.511038	81.257923	75.680479	50.987139	13.240254
scaffold_24	290.963420	30.622778	165.262676	191.526608	260.340642	125.700744	99.436812
scaffold_25	239.838002	229.612088	113.508878	132.571534	10.225914	126.329124	107.266468
scaffold_26	145.254906	53.628173	78.103329	123.083244	91.626734	67.151577	22.171663
scaffold_27	101.583674	-3.574302	25.578435	81.902845	105.157976	76.005239	19.680829
scaffold_28	405.931077	-4.183689	145.052758	371.503268	410.114766	260.878319	34.427809
scaffold_29	-nan	-6.402227	11.696453	54.821337	-nan	-nan	-nan
scaffold_30	497.446688	-1.212486	136.904899	373.593984	498.659174	360.541789	123.852704
scaffold_31	67.537854	32.582548	38.161710	42.816455	34.955307	29.376145	24.721399
scaffold_32	184.767790	38.021150	91.388805	166.740418	146.746640	93.378985	18.027372
scaffold_33	-nan	0.993052	27.721723	2172.800680	-nan	-nan	-nan
scaffold_34	251.551123	-2.167894	95.589398	195.040905	253.719017	155.961725	56.510218
scaffold_35	133.404876	21.014029	47.515680	120.958139	112.390847	85.889196	12.446737
scaffold_36	59.387903	21.113880	37.773201	36.948866	38.274022	21.614702	22.439037
scaffold_37	352.849874	108.033584	195.173944	319.120453	244.816290	157.675930	33.729421
scaffold_38	98.974801	33.593246	69.648658	91.613488	65.381554	29.326143	7.361313
scaffold_39	112.809865	28.614021	66.162590	105.289960	84.195844	46.647275	7.519905
scaffold_40	334.605957	237.947387	232.597531	215.251583	96.658571	102.008427	119.354375
scaffold_41	247.545922	99.292496	202.313029	214.642230	148.253427	45.232893	32.903692
scaffold_42	228.953978	1.121745	78.637267	206.122784	227.832233	150.316711	22.831194
scaffold_43	227.175182	46.157770	86.838329	205.039118	181.017412	140.336852	22.136064
scaffold_44	257.167100	-9.206962	77.257217	192.941267	266.374062	179.909884	64.225833
scaffold_45	189.851417	28.289652	117.713716	170.484281	161.561764	72.137701	19.367135
scaffold_46	197.480137	13.479964	90.493471	191.220852	184.000173	106.986666	6.259285
scaffold_47	140.078434	19.287143	51.336865	123.864131	120.791292	88.741569	16.214304
scaffold_48	419.635563	30.937150	148.411078	371.093770	388.698413	271.224485	48.541793
scaffold_49	167.745227	117.210281	101.777364	100.975091	50.534946	65.967862	66.770136
scaffold_50	102.849458	46.280347	63.104901	74.788433	56.569111	39.744556	28.061025
scaffold_51	267.821566	19.390639	131.942909	256.942997	248.430927	135.878657	10.878568
scaffold_52	119.197058	36.163156	90.637280	91.146250	83.033902	28.559778	28.050808
scaffold_53	82.049070	4.036561	40.154899	59.530789	78.012509	41.894171	22.518281
scaffold_54	160.361854	40.269067	126.517569	117.672430	120.092788	33.844285	42.689425
scaffold_55	30.721359	14.229393	29.051991	20.455914	16.491966	1.669367	10.265444
scaffold_56	26.807892	-1.519105	1.971281	12.578619	28.326998	24.836611	14.229273
scaffold_57	1061.147465	-11.635789	373.379085	933.600035	1072.783254	687.768380	127.547430
scaffold_58	1649.222503	1622.668026	943.192368	826.849305	26.554476	706.030134	822.373197
scaffold_59	151.907436	70.994913	79.059117	88.576302	80.912522	72.848319	63.331134
scaffold_60	311.604790	101.833789	259.182420	252.742151	209.771000	52.422370	58.862639
scaffold_61	162.386097	130.642833	73.246019	102.111697	31.743264	89.140078	60.274400
scaffold_62	122.691212	108.010334	66.928234	62.907124	14.680877	55.762978	59.784088
scaffold_63	623.196518	550.693669	373.927257	341.277999	72.502849	249.269260	281.918518
scaffold_64	160.934869	-13.364719	27.447509	122.929082	174.299589	133.487361	38.005788
scaffold_65	188.137188	3.132578	90.160382	164.924627	185.004609	97.976805	23.212560
scaffold_66	118.963129	18.716162	89.672985	87.207664	100.246967	29.290144	31.755465
scaffold_67	265.753639	29.922884	172.347172	227.748493	235.830756	93.406467	38.005147
scaffold_68	168.112665	30.039430	79.414395	165.050025	138.073235	88.698270	3.062640
scaffold_69	78.174672	48.810850	46.976145	59.049882	29.363823	31.198527	19.124791
scaffold_70	115.453529	81.761210	56.872821	66.460943	33.692320	58.580708	48.992586
scaffold_71	81.317866	3.920929	42.166906	75.239710	77.396936	39.150960	6.078156
