scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	1182.906032	1131.714724	675.123104	607.535811	51.191308	507.782928	575.370221
scaffold_2	2438.322179	2205.822905	1375.178498	1322.864725	232.499274	1063.143682	1115.457454
scaffold_3	319.910892	18.827670	147.950256	306.056539	301.083222	171.960636	13.854352
scaffold_4	2003.339863	1950.204959	972.192580	1078.381540	53.134904	1031.147283	924.958323
scaffold_5	8322.453260	8097.292500	3847.857886	4524.287946	225.160760	4474.595374	3798.165313
scaffold_6	1101.657970	1022.795773	623.401234	593.542711	78.862197	478.256736	508.115258
scaffold_7	1335.091576	1196.129626	876.331567	774.299554	138.961949	458.760008	560.792022
scaffold_8	1582.546618	1481.475833	930.774272	836.238939	101.070785	651.772346	746.307679
scaffold_9	1014.379225	958.273367	467.326485	586.741000	56.105859	547.052741	427.638225
scaffold_10	160.904970	16.100850	103.584119	128.979537	144.804120	57.320850	31.925433
scaffold_11	1418.827821	1235.280197	793.230834	777.164008	183.547624	625.596987	641.663813
scaffold_12	1234.749688	1154.252198	640.309624	657.138394	80.497490	594.440064	577.611294
scaffold_13	1020.193074	814.372964	561.785164	534.842819	205.820111	458.407910	485.350255
scaffold_14	1722.973008	1648.695488	746.702451	934.694099	74.277520	976.270557	788.278909
scaffold_15	1157.739366	1000.933394	759.351669	696.357055	156.805972	398.387697	461.382311
scaffold_16	976.598737	965.287543	468.891204	505.084573	11.311194	507.707533	471.514164
scaffold_17	955.893435	879.087361	543.388808	536.663094	76.806074	412.504627	419.230341
scaffold_18	1127.103124	1060.808665	737.596574	614.045922	66.294460	389.506550	513.057202
scaffold_19	3974.901196	427.466069	2606.457944	3098.432914	3547.435126	1368.443252	876.468282
scaffold_20	818.471354	523.323206	367.914471	542.746345	295.148148	450.556884	275.725010
scaffold_21	915.000541	887.681095	399.149801	505.051130	27.319447	515.850741	409.949412
scaffold_22	663.785193	660.334876	298.793251	352.173246	3.450317	364.991942	311.611947
scaffold_23	988.501810	904.043567	475.095723	505.866240	84.458242	513.406086	482.635570
scaffold_24	1105.801529	1012.470701	617.203888	592.074907	93.330828	488.597640	513.726622
scaffold_25	782.996753	737.516489	330.815626	410.987147	45.480264	452.181127	372.009606
scaffold_26	1003.528783	890.742012	510.391034	520.713415	112.786770	493.137748	482.815367
scaffold_27	601.665049	519.597478	201.975303	312.735850	82.067571	399.689746	288.929199
scaffold_28	913.529716	806.441630	501.653550	472.276170	107.088085	411.876166	441.253545
scaffold_29	1139.703677	716.004830	820.320142	847.670508	423.698847	319.383534	292.033169
scaffold_30	8361.669487	8303.763663	3967.571769	4247.914015	57.905824	4394.097718	4113.755472
scaffold_31	803.275885	750.724617	436.192216	423.450294	52.551267	367.083669	379.825590
scaffold_32	870.543640	778.479869	466.648208	470.213119	92.063771	403.895432	400.330521
scaffold_33	1392.700514	1189.505101	885.676772	782.885924	203.195414	507.023742	609.814591
scaffold_34	1047.036591	961.530065	635.606994	585.914209	85.506526	411.429597	461.122381
scaffold_35	4323.300165	4128.990550	2387.623366	2333.695193	194.309615	1935.676799	1989.604971
scaffold_36	858.073768	846.006219	476.607688	451.900245	12.067549	381.466080	406.173523
scaffold_37	1030.721671	971.515371	539.537912	543.208695	59.206300	491.183759	487.512976
scaffold_38	549.372121	128.862154	452.798525	478.770334	420.509967	96.573596	70.601786
scaffold_39	1247.356180	1247.205881	778.441397	712.013652	0.150300	468.914784	535.342528
scaffold_40	523.958034	478.617420	349.252855	303.510302	45.340615	174.705179	220.447732
scaffold_41	1038.391196	764.921853	421.361065	532.731777	273.469343	617.030131	505.659419
scaffold_42	941.206149	934.116823	424.514196	501.428464	7.089326	516.691953	439.777685
scaffold_43	798.954132	729.068419	405.243042	389.421580	69.885713	393.711090	409.532552
scaffold_44	841.377693	769.897573	553.947432	477.607417	71.480120	287.430261	363.770277
scaffold_45	1350.064934	1345.187415	541.264588	706.556647	4.877519	808.800345	643.508286
scaffold_46	630.599406	464.282234	310.580223	364.188259	166.317173	320.019183	266.411147
scaffold_47	560.234851	445.930532	278.043766	325.558289	114.304319	282.191085	234.676562
scaffold_48	674.990808	520.894827	320.788166	382.990654	154.095981	354.202643	292.000154
scaffold_49	610.261418	541.534111	371.551092	334.490041	68.727307	238.710326	275.771377
scaffold_50	6385.343500	6366.350564	2551.844058	3414.705633	18.992936	3833.499442	2970.637867
scaffold_51	855.583296	832.599789	404.736037	450.704722	22.983507	450.847258	404.878574
scaffold_52	966.730106	844.655147	564.832767	574.150688	122.074959	401.897339	392.579419
scaffold_53	810.516727	720.011713	460.036634	445.675473	90.505013	350.480093	364.841254
scaffold_54	808.873097	763.690150	488.334824	406.228078	45.182947	320.538272	402.645019
scaffold_55	808.192081	802.693173	416.538499	420.659460	5.498908	391.653581	387.532621
scaffold_56	1140.460311	914.855554	621.574079	669.165540	225.604757	518.886233	471.294771
scaffold_57	416.102164	-4.238849	12.079657	48.983581	420.341013	404.022508	367.118584
scaffold_58	872.346012	750.229910	638.234374	522.361381	122.116102	234.111638	349.984631
scaffold_59	1460.100336	1416.283007	771.447922	767.317092	43.817329	688.652414	692.783244
scaffold_60	423.445398	197.185332	167.316861	309.941532	226.260066	256.128537	113.503866
scaffold_61	1434.362276	1298.369341	861.912712	796.901439	135.992935	572.449564	637.460837
scaffold_62	792.196458	698.109035	546.248773	426.430031	94.087423	245.947686	365.766427
scaffold_63	560.007848	512.519204	282.314519	307.734008	47.488644	277.693329	252.273840
scaffold_64	302.106828	86.299031	169.416316	287.406732	215.807797	132.690512	14.700096
scaffold_65	5163.028549	5154.009186	2638.400609	2673.526838	9.019363	2524.627940	2489.501711
