scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	2559.045508	248.975217	571.871239	2436.766831	2310.070292	1987.174269	122.278677
scaffold_2	3066.961743	345.632956	973.855389	2967.094517	2721.328787	2093.106354	99.867226
scaffold_3	2783.528162	504.978474	896.724219	2663.655147	2278.549688	1886.803943	119.873015
scaffold_4	1652.641834	57.612255	846.102731	1274.639878	1595.029579	806.539103	378.001956
scaffold_5	1826.959718	219.076127	887.671664	1604.188226	1607.883591	939.288054	222.771492
scaffold_6	1233.424742	36.715179	518.753835	1131.098016	1196.709564	714.670908	102.326726
scaffold_7	1072.689580	133.627648	303.662500	629.386795	939.061932	769.027081	443.302785
scaffold_8	3730.426501	306.931115	1028.616836	3532.128960	3423.495386	2701.809665	198.297540
scaffold_9	1078.784634	277.806951	542.598071	487.541514	800.977683	536.186564	591.243121
scaffold_10	3011.405474	41.074272	613.792264	2057.271960	2970.331203	2397.613210	954.133514
scaffold_11	1751.446254	52.593986	639.186525	1292.234996	1698.852268	1112.259729	459.211258
scaffold_12	1844.964509	141.668240	981.611079	1670.631907	1703.296269	863.353430	174.332602
scaffold_13	1856.912274	462.960765	928.017211	755.572014	1393.951509	928.895063	1101.340261
scaffold_14	1611.921870	165.103195	771.302904	1589.571388	1446.818675	840.618965	22.350482
scaffold_15	1573.274457	94.703546	880.266393	1257.036318	1478.570911	693.008064	316.238139
scaffold_16	1828.109499	14.694775	807.255238	1587.060454	1813.414724	1020.854261	241.049045
scaffold_17	2075.118629	257.485828	833.376273	1653.247994	1817.632801	1241.742356	421.870635
scaffold_18	1096.624451	-20.507874	364.216622	944.613401	1117.132325	732.407829	152.011050
scaffold_19	1829.463802	619.211568	1706.943412	970.432963	1210.252234	122.520390	859.030840
scaffold_20	1423.242165	103.976765	782.358869	1301.679949	1319.265400	640.883296	121.562216
scaffold_21	2149.436881	-86.904439	461.040282	1654.205488	2236.341320	1688.396599	495.231393
scaffold_22	1913.657404	573.955908	522.458671	1794.456463	1339.701495	1391.198733	119.200941
scaffold_23	3481.633444	750.133793	1343.216961	3131.414005	2731.499651	2138.416483	350.219439
scaffold_24	1166.876922	-71.848262	208.991961	876.195923	1238.725184	957.884961	290.680999
scaffold_25	3625.930511	828.686519	3205.243914	1961.125046	2797.243992	420.686597	1664.805466
scaffold_26	1039.687636	217.398899	520.975992	900.670614	822.288737	518.711644	139.017021
scaffold_27	1751.382040	64.253094	833.052378	1534.932959	1687.128946	918.329662	216.449081
scaffold_28	1828.457127	9.039857	519.527328	1678.255916	1819.417270	1308.929799	150.201211
scaffold_29	596.905812	136.713170	490.199873	478.697850	460.192642	106.705939	118.207961
scaffold_30	502.938145	-10.346397	143.468481	339.309441	513.284543	359.469665	163.628704
