scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	8901.310531	51.148521	3656.932395	7316.677082	8850.162009	5244.378136	1584.633449
scaffold_2	4029.240879	-64.446912	1278.135497	3264.928054	4093.687792	2751.105382	764.312825
scaffold_3	2629.438240	131.788624	1122.220928	2182.911668	2497.649615	1507.217311	446.526571
scaffold_4	4587.931695	74.163501	1942.552950	3452.743320	4513.768195	2645.378745	1135.188375
scaffold_5	3519.213289	222.162590	1774.319859	2676.197367	3297.050699	1744.893430	843.015922
scaffold_6	3529.496282	-169.914054	731.218713	2404.827533	3699.410336	2798.277569	1124.668748
scaffold_7	4464.871678	-137.136504	1299.761922	3392.161543	4602.008182	3165.109756	1072.710135
scaffold_8	2130.650032	305.141332	956.993234	1497.840714	1825.508700	1173.656798	632.809318
scaffold_9	4162.718644	339.578760	2355.393254	3515.109997	3823.139885	1807.325390	647.608647
scaffold_10	3230.055942	420.183595	1955.823522	1924.686645	2809.872347	1274.232420	1305.369297
scaffold_11	3360.215155	-164.186946	698.977599	2301.809709	3524.402101	2661.237556	1058.405446
scaffold_12	3282.330202	-155.800848	790.314207	2442.769435	3438.131051	2492.015996	839.560768
scaffold_13	6213.043892	308.855934	2961.636055	5096.332764	5904.187958	3251.407838	1116.711128
scaffold_14	3931.207962	-59.124822	1331.522397	3060.523498	3990.332784	2599.685566	870.684464
scaffold_15	3678.692675	95.489911	1621.318378	2635.050738	3583.202763	2057.374297	1043.641937
scaffold_16	3685.198908	-8.143979	1481.021607	2851.943851	3693.342887	2204.177301	833.255058
scaffold_17	2725.045678	329.784808	1632.492009	2045.475339	2395.260871	1092.553669	679.570339
scaffold_18	3110.840934	-142.288347	688.554291	2155.909355	3253.129281	2422.286644	954.931579
scaffold_19	3001.780226	-156.017870	624.785122	2122.519579	3157.798096	2376.995104	879.260647
scaffold_20	4229.963315	-174.738219	1096.160715	3025.537956	4404.701534	3133.802601	1204.425360
scaffold_21	2719.521440	-116.923020	592.151707	1891.050201	2836.444459	2127.369732	828.471239
scaffold_22	3181.862190	-71.195519	804.963168	2475.438940	3253.057709	2376.899022	706.423249
scaffold_23	1580.525484	66.563196	649.312496	1447.096631	1513.962288	931.212988	133.428853
scaffold_24	2655.553704	-113.122949	592.786947	1872.830649	2768.676653	2062.766756	782.723055
scaffold_25	4883.778781	249.804012	2470.841454	3664.110077	4633.974769	2412.937328	1219.668705
scaffold_26	14733.480070	-344.048353	4417.205632	12140.851784	15077.528423	10316.274438	2592.628286
scaffold_27	4268.004240	302.909392	2349.425469	3281.941215	3965.094847	1918.578770	986.063024
scaffold_28	3100.652819	151.331212	1598.183472	2475.552055	2949.321607	1502.469347	625.100764
scaffold_29	3185.691556	-120.540218	836.695587	2257.628790	3306.231774	2348.995969	928.062766
scaffold_30	4773.744048	-186.968177	1154.951434	3585.174470	4960.712225	3618.792615	1188.569578
scaffold_31	1979.665656	113.202966	922.226060	1443.274848	1866.462690	1057.439597	536.390809
scaffold_32	2483.461911	-37.784381	759.312537	1997.270313	2521.246292	1724.149374	486.191598
scaffold_33	3194.829427	-95.272731	874.190279	2521.911800	3290.102158	2320.639148	672.917627
scaffold_34	7499.375742	922.679344	4515.984734	4843.950998	6576.696397	2983.391007	2655.424743
scaffold_35	3209.469093	-173.014282	615.204919	2275.253669	3382.483375	2594.264174	934.215424
scaffold_36	4752.690098	-146.528336	1218.922953	3312.447103	4899.218434	3533.767145	1440.242995
scaffold_37	2664.225992	254.710867	1592.781950	2087.821013	2409.515125	1071.444042	576.404979
scaffold_38	2722.190123	-144.369626	534.767857	1836.874090	2866.559750	2187.422266	885.316034
scaffold_39	8064.781303	-91.554128	2675.415420	6827.003635	8156.335431	5389.365883	1237.777668
scaffold_40	2751.738583	-126.249807	559.618317	1907.025885	2877.988391	2192.120266	844.712699
scaffold_41	2642.296653	-133.821390	598.758300	1949.447006	2776.118044	2043.538353	692.849647
scaffold_42	2968.112960	1706.365743	1225.571083	2311.806419	1261.747216	1742.541877	656.306540
scaffold_43	7639.474426	130.917836	1517.574037	5943.627819	7508.556590	6121.900388	1695.846606
scaffold_44	1766.382211	106.693972	640.074995	1369.177825	1659.688239	1126.307216	397.204386
scaffold_45	2646.606064	254.318261	1543.525078	2200.159657	2392.287802	1103.080986	446.446407
scaffold_46	5949.545714	-211.329995	1582.845769	4752.971740	6160.875710	4366.699945	1196.573975
scaffold_47	1705.121689	262.461586	551.039208	1425.961450	1442.660103	1154.082481	279.160239
scaffold_48	2819.774797	-93.352877	772.901425	2142.310222	2913.127674	2046.873372	677.464575
scaffold_49	2676.332580	-134.979962	561.042409	1935.335917	2811.312543	2115.290171	740.996663
scaffold_50	2276.065996	4.165140	890.199719	1808.721732	2271.900856	1385.866277	467.344264
scaffold_51	1696.234335	303.052951	826.391805	1275.153964	1393.181384	869.842530	421.080371
scaffold_52	2691.146549	-82.100101	741.227372	1994.452884	2773.246650	1949.919178	696.693665
scaffold_53	10603.229453	-523.135848	2514.129908	8224.926999	11126.365301	8089.099545	2378.302454
scaffold_54	2304.350921	-111.062288	495.800072	1599.248348	2415.413209	1808.550849	705.102573
scaffold_55	2424.372444	-136.899858	552.173804	1794.707037	2561.272302	1872.198640	629.665407
scaffold_56	4429.164844	280.615330	2285.577789	3501.429412	4148.549514	2143.587056	927.735432
scaffold_57	2490.114525	435.114489	1646.578450	1719.989737	2055.000036	843.536075	770.124788
scaffold_58	2483.580836	26.639220	862.952146	2063.433532	2456.941617	1620.628690	420.147304
scaffold_59	2629.249496	-127.994393	604.968359	1936.257634	2757.243889	2024.281137	692.991862
scaffold_60	2375.802588	-75.864516	698.541255	1756.208209	2451.667105	1677.261333	619.594379
scaffold_61	3196.297783	-72.842635	1047.013643	2475.614593	3269.140419	2149.284140	720.683191
scaffold_62	2079.059602	-86.060926	478.627504	1443.681972	2165.120528	1600.432098	635.377630
scaffold_63	2595.429739	-129.317670	556.081346	1824.442221	2724.747409	2039.348393	770.987518
scaffold_64	2002.778642	167.981858	1041.146300	1622.073005	1834.796784	961.632342	380.705637
scaffold_65	2978.604469	-136.880495	717.177582	2224.219895	3115.484963	2261.426887	754.384574
scaffold_66	4256.774366	35.665607	1769.615158	3302.969734	4221.108758	2487.159207	953.804631
scaffold_67	3158.879231	268.809939	1685.004330	2398.515293	2890.069291	1473.874901	760.363938
scaffold_68	2289.973897	217.436788	1263.079741	1577.926296	2072.537109	1026.894156	712.047601
scaffold_69	2220.882201	-112.630508	446.868261	1525.896837	2333.512709	1774.013941	694.985365
scaffold_70	2903.690060	70.040412	1334.712800	2272.536243	2833.649648	1568.977260	631.153816
scaffold_71	2281.542009	-92.149250	567.351156	1745.085021	2373.691259	1714.190853	536.456987
scaffold_72	1641.276946	249.327365	682.464029	1433.442931	1391.949580	958.812917	207.834015
scaffold_73	4458.464324	-120.017677	1236.425012	3685.151963	4578.482001	3222.039313	773.312362
scaffold_74	1658.356693	165.890516	819.889670	1411.727178	1492.466178	838.467023	246.629515
scaffold_75	3321.533214	-100.941306	964.453845	2707.998011	3422.474520	2357.079369	613.535202
scaffold_76	3167.580945	-144.461397	773.031761	2386.142245	3312.042342	2394.549184	781.438701
scaffold_77	1782.917315	26.165754	683.302469	1558.439140	1756.751561	1099.614846	224.478175
scaffold_78	2629.290030	-32.113432	892.358429	2037.908808	2661.403462	1736.931601	591.381223
scaffold_79	2278.714327	103.003974	1015.522735	1995.030328	2175.710353	1263.191592	283.683999
scaffold_80	2549.031965	-120.447134	560.399917	1750.337226	2669.479099	1988.632048	798.694739
scaffold_81	2145.091707	53.141856	992.693431	1817.614414	2091.949851	1152.398276	327.477293
scaffold_82	2418.674260	-113.162566	523.126825	1659.247596	2531.836826	1895.547436	759.426665
scaffold_83	3272.937650	282.754426	1824.330435	2496.341999	2990.183224	1448.607216	776.595651
scaffold_84	3077.376434	-117.738012	840.245325	2338.326406	3195.114446	2237.131109	739.050028
scaffold_85	3782.180641	-80.948766	1134.801391	2495.926956	3863.129407	2647.379250	1286.253685
scaffold_86	2210.606231	-95.980831	488.757645	1521.030586	2306.587062	1721.848586	689.575645
scaffold_87	3547.217633	-235.704353	836.217355	2797.784807	3782.921987	2711.000278	749.432826
scaffold_88	10424.724959	299.342535	4558.073885	8436.663486	10125.382424	5866.651074	1988.061473
scaffold_89	2064.463936	-18.326480	659.446345	1623.536966	2082.790416	1405.017591	440.926970
scaffold_90	2490.105270	10.026236	930.179521	2069.142070	2480.079034	1559.925748	420.963199
scaffold_91	2636.264012	384.712516	1793.067157	1760.867415	2251.551496	843.196855	875.396596
scaffold_92	1927.601392	103.936922	991.281189	1445.223317	1823.664470	936.320203	482.378075
scaffold_93	1561.151670	88.141213	602.411439	1302.150812	1473.010458	958.740231	259.000858
scaffold_94	2046.831319	-83.123055	451.116274	1377.371003	2129.954374	1595.715045	669.460317
scaffold_95	2372.357211	-94.910894	616.882245	1803.834196	2467.268104	1755.474966	568.523015
scaffold_96	5176.155145	46.019781	2011.229343	3636.277355	5130.135364	3164.925802	1539.877790
scaffold_97	2212.233486	-73.184217	597.541517	1621.593128	2285.417703	1614.691969	590.640358
scaffold_98	4787.924100	12.055446	1845.214970	3371.743373	4775.868654	2942.709130	1416.180727
scaffold_99	3133.829473	-141.576293	721.281983	2208.523004	3275.405766	2412.547490	925.306469
scaffold_100	2373.183129	27.134629	994.285563	1912.040341	2346.048500	1378.897566	461.142789
scaffold_101	1221.781242	387.871591	864.133567	611.227909	833.909651	357.647675	610.553333
scaffold_102	2617.384213	202.876642	1488.180094	2053.907792	2414.507572	1129.204120	563.476422
scaffold_103	2419.830015	138.956967	1232.242726	2127.880427	2280.873048	1187.587289	291.949588
scaffold_104	8424.662509	641.236454	4710.762051	7240.705431	7783.426055	3713.900458	1183.957079
scaffold_105	3269.361534	-105.802487	866.075804	2227.511283	3375.164021	2403.285730	1041.850251
scaffold_106	2210.582343	-77.213775	588.665716	1659.951302	2287.796118	1621.916626	550.631041
scaffold_107	5417.711276	235.677555	2534.669572	3774.117149	5182.033721	2883.041704	1643.594127
scaffold_108	2420.600661	-128.079971	497.963252	1691.137874	2548.680632	1922.637409	729.462787
scaffold_109	1728.846866	79.601860	634.139925	1278.230578	1649.245006	1094.706941	450.616288
scaffold_110	2090.447678	-104.535360	464.297631	1519.656581	2194.983038	1626.150047	570.791097
scaffold_111	5233.690797	-3.864371	1955.798351	3719.340622	5237.555168	3277.892446	1514.350175
scaffold_112	1564.785897	-46.850460	402.676317	1135.216560	1611.636357	1162.109580	429.569337
scaffold_113	2481.949512	-119.444764	545.827474	1728.001270	2601.394276	1936.122038	753.948242
scaffold_114	1837.718610	221.591214	1040.486318	1397.842564	1616.127397	797.232292	439.876046
scaffold_115	3752.289846	809.532354	2789.359945	2375.411123	2942.757492	962.929902	1376.878724
