scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	2880.871270	298.435093	278.755739	258.127615	2582.436178	2602.115532	2622.743655
scaffold_2	1141.218720	1094.356866	693.760682	617.383436	46.861854	447.458038	523.835284
scaffold_3	357.933102	179.377315	148.853862	284.978124	178.555787	209.079240	72.954978
scaffold_4	451.783416	447.695744	266.537314	233.024071	4.087672	185.246101	218.759344
scaffold_5	750.239190	726.089047	436.179465	375.540204	24.150143	314.059726	374.698987
scaffold_6	538.396032	481.108258	379.750175	305.789100	57.287774	158.645857	232.606932
scaffold_7	357.405347	317.633013	239.312770	195.817143	39.772333	118.092577	161.588204
scaffold_8	518.628245	425.662070	342.697013	305.714966	92.966176	175.931232	212.913279
scaffold_9	405.165760	302.829852	179.033240	233.756669	102.335908	226.132519	171.409090
scaffold_10	2947.137275	2825.384273	1889.557994	1447.538764	121.753002	1057.579281	1499.598511
scaffold_11	426.883151	399.907544	271.535110	221.854986	26.975608	155.348041	205.028165
scaffold_12	413.346179	284.745207	185.482819	208.736036	128.600973	227.863361	204.610143
scaffold_13	325.383985	112.758830	161.201076	271.357090	212.625156	164.182910	54.026896
scaffold_14	890.823283	850.962880	425.203818	461.602845	39.860403	465.619465	429.220439
scaffold_15	310.016086	294.708452	208.808393	165.197822	15.307634	101.207692	144.818264
scaffold_16	256.519667	160.873023	207.951544	196.963771	95.646644	48.568123	59.555896
scaffold_17	472.609296	337.624572	226.027772	270.493295	134.984724	246.581524	202.116001
scaffold_18	468.878920	450.175954	262.917000	234.528242	18.702967	205.961920	234.350679
scaffold_19	432.075506	401.450553	291.058131	238.580887	30.624953	141.017375	193.494619
scaffold_20	43948.207657	171.193496	242.618398	295.804665	43777.014161	43705.589259	43652.402992
scaffold_21	371.758805	140.942238	195.153529	221.361247	230.816567	176.605276	150.397558
scaffold_22	542.614783	498.675092	373.110215	275.557725	43.939691	169.504567	267.057057
scaffold_23	446.220116	426.954422	259.348167	229.142518	19.265694	186.871949	217.077598
scaffold_24	394.825919	377.596807	259.939800	208.991210	17.229111	134.886119	185.834709
scaffold_25	112.845664	-10.762139	14.005914	761.940236	123.607802	98.839750	-649.094572
scaffold_26	464.361461	359.115016	281.683337	263.273463	105.246445	182.678124	201.087998
scaffold_27	21157.918297	350.097981	335.929924	205.842810	20807.820316	20821.988372	20952.075487
scaffold_28	609.464104	414.240837	314.074313	358.015459	195.223268	295.389791	251.448645
scaffold_29	286.021356	100.209344	224.186875	245.710301	185.812012	61.834481	40.311056
scaffold_30	nan	-0.065288	0.827289	-nan	nan	nan	nan
scaffold_31	369.032834	322.184289	181.256520	206.051606	46.848546	187.776315	162.981228
scaffold_32	430.240843	175.592660	297.982208	253.770546	254.648184	132.258635	176.470297
scaffold_33	475.374914	381.774231	253.490325	277.821021	93.600682	221.884589	197.553893
scaffold_34	405.264955	342.113789	291.254163	264.725800	63.151166	114.010792	140.539155
scaffold_35	1277.935234	1205.494504	863.473224	635.327419	72.440730	414.462010	642.607815
scaffold_36	4203.143492	4075.804091	2647.553222	2213.665053	127.339401	1555.590270	1989.478438
scaffold_37	584.742831	525.537883	372.399024	316.011235	59.204948	212.343807	268.731596
scaffold_38	791.478895	699.898107	309.524402	400.657059	91.580788	481.954493	390.821836
scaffold_39	1126.231323	524.799289	335.897149	287.907038	601.432034	790.334175	838.324285
scaffold_40	610.243390	481.231273	384.407128	373.095957	129.012117	225.836261	237.147433
scaffold_41	636.995403	387.262390	391.927274	463.911705	249.733013	245.068128	173.083698
scaffold_42	448.930003	425.983773	266.735840	245.863399	22.946229	182.194163	203.066604
scaffold_43	685.575100	673.992472	375.287526	359.325749	11.582628	310.287574	326.249352
scaffold_44	442.736271	436.130706	246.298547	235.771186	6.605564	196.437723	206.965085
scaffold_45	3820.145811	3767.214712	2134.048795	1936.935871	52.931098	1686.097016	1883.209940
scaffold_46	746.287855	682.918123	443.011292	416.294587	63.369732	303.276563	329.993268
scaffold_47	687.656961	654.377343	421.213221	334.039499	33.279618	266.443740	353.617462
scaffold_48	126.956052	-8.900152	21.974845	86.916461	135.856204	104.981207	40.039590
scaffold_49	495.541694	387.781754	408.911260	333.939295	107.759940	86.630434	161.602399
scaffold_50	377.474959	263.281751	278.493498	234.673037	114.193207	98.981461	142.801922
scaffold_51	425.100933	361.257464	284.355467	215.612967	63.843469	140.745467	209.487966
scaffold_52	295.868418	202.599151	171.134625	191.032130	93.269268	124.733794	104.836288
scaffold_53	387.584433	326.845542	178.655066	233.247994	60.738891	208.929367	154.336438
scaffold_54	1170.460592	1071.382429	686.279572	644.605070	99.078163	484.181020	525.855522
scaffold_55	488.351693	448.428288	236.703717	258.272596	39.923405	251.647976	230.079097
scaffold_56	158.948701	79.474885	128.341064	141.428178	79.473816	30.607637	17.520523
scaffold_57	392.738200	313.607951	249.182806	248.255282	79.130250	143.555394	144.482918
scaffold_58	492.777066	464.008086	289.078325	292.883024	28.768980	203.698741	199.894042
