Sample_ID,Forward,Reverse
STP1710.7,STP1710_7_CKDN230005795-1A_H5MWNDSX7_L1_1.fq.gz,STP1710_7_CKDN230005795-1A_H5MWNDSX7_L1_2.fq.gz
STP1710.7,STP1710.7.ONT.fastq.gz,
STP1717.1,STP1717_1_CKDN230031622-1A_HHY5VDSX7_L2_1.fq.gz,STP1717_1_CKDN230031622-1A_HHY5VDSX7_L2_2.fq.gz
STP1717.1,STP1717.1.ONT.fastq.gz,
UHM207.4505,UHM207_4505_CKDN230031623-1A_HHY5VDSX7_L2_1.fq.gz,UHM207_4505_CKDN230031623-1A_HHY5VDSX7_L2_2.fq.gz
UHM207.4505,UHM207.4505.ONT.fastq.gz,
UHM260.5136,UHM260_5136_CKDN230031626-1A_HHY5VDSX7_L2_1.fq.gz,UHM260_5136_CKDN230031626-1A_HHY5VDSX7_L2_2.fq.gz
UHM260.5136,UHM260.5136.ONT.fastq.gz,
UHM516.7697,UHM516_7697_CKDN230031624-1A_HHY5VDSX7_L2_1.fq.gz,UHM516_7697_CKDN230031624-1A_HHY5VDSX7_L2_2.fq.gz
UHM516.7697,UHM516.7697.ONT.fastq.gz,
UHM520.7734,UHM520_7734_CKDN230031625-1A_HHY5VDSX7_L2_1.fq.gz,UHM520_7734_CKDN230031625-1A_HHY5VDSX7_L2_2.fq.gz
UHM520.7734,UHM520.7734.ONT.fastq.gz,
CBS931.73,Bmer_CBS931.73_1.fastq.gz,Bmer_CBS931.73_2.fastq.gz
CBS931.73,CBS931.73.pacbio.fastq.gz,
NRRL2992,Bmicro_NRRL2992.pacbio.fastq.gz,
Bran_AGB5,Basidiobolus_ranarum_AGB5_1.fq.gz,Basidiobolus_ranarum_AGB5_2.fq.gz
