chrom	length	bases	mean	min	max
scaffold_1	178727	4405334	24.65	2	49
scaffold_1_region	109401	2798265	25.58	12	43
scaffold_2	169477	4162251	24.56	1	46
scaffold_2_region	50815	1240076	24.40	9	45
scaffold_3	164936	30232210	183.30	0	1240
scaffold_3_region	9171	1348481	147.04	54	272
scaffold_4	162459	5976161	36.79	0	203
scaffold_4_region	57608	1555710	27.01	9	42
scaffold_5	157566	3634546	23.07	0	100
scaffold_5_region	101303	2300826	22.71	0	52
scaffold_6	157331	3857864	24.52	1	105
scaffold_6_region	79508	1963652	24.70	9	38
scaffold_7	156811	3920746	25.00	0	162
scaffold_7_region	92608	2047068	22.10	3	41
scaffold_8	149558	3608640	24.13	0	46
scaffold_8_region	94207	2242702	23.81	8	41
scaffold_9	146551	3766660	25.70	0	49
scaffold_9_region	93481	2402308	25.70	7	48
scaffold_10	136491	20437882	149.74	0	255
scaffold_10_region	2277	303982	133.50	83	209
scaffold_11	136349	3661862	26.86	2	187
scaffold_11_region	70541	1788134	25.35	9	47
scaffold_12	134972	3334122	24.70	0	53
scaffold_12_region	46749	1228450	26.28	2	53
scaffold_13	134093	3995257	29.79	1	160
scaffold_13_region	64486	1778147	27.57	15	51
scaffold_14	132655	3639373	27.43	0	115
scaffold_14_region	67765	1837679	27.12	4	43
scaffold_15	129522	3124729	24.13	0	49
scaffold_15_region	79134	2029987	25.65	0	49
scaffold_16	128778	3278203	25.46	3	60
scaffold_16_region	77073	1933593	25.09	8	48
scaffold_17	125222	3260407	26.04	1	69
scaffold_17_region	81816	2064657	25.24	9	39
scaffold_18	125118	4132234	33.03	0	171
scaffold_18_region	49377	1315001	26.63	10	53
scaffold_19	124594	4600702	36.93	0	75
scaffold_19_region	23599	1027851	43.55	0	68
scaffold_20	124362	4484984	36.06	1	187
scaffold_20_region	48140	1331385	27.66	12	42
scaffold_21	119289	3056010	25.62	5	45
scaffold_21_region	68205	1822577	26.72	10	45
scaffold_22	118100	2807760	23.77	3	48
scaffold_22_region	76656	1802696	23.52	7	37
scaffold_23	118027	3159537	26.77	8	45
scaffold_23_region	86160	2345747	27.23	8	44
scaffold_24	116362	3283134	28.21	4	107
scaffold_24_region	60142	1566755	26.05	10	45
scaffold_25	116313	2921805	25.12	2	56
scaffold_25_region	72936	1900524	26.06	12	56
scaffold_26	115949	3102842	26.76	6	53
scaffold_26_region	70726	1941897	27.46	8	53
scaffold_27	115264	3030824	26.29	5	61
scaffold_27_region	69547	1792260	25.77	9	46
scaffold_28	115146	2613880	22.70	0	71
scaffold_28_region	50472	1175135	23.28	4	38
scaffold_29	114987	3673052	31.94	8	79
scaffold_29_region	65079	1859088	28.57	12	72
scaffold_30	114482	2887723	25.22	6	65
scaffold_30_region	65579	1793194	27.34	7	65
scaffold_31	113794	3184966	27.99	1	127
scaffold_31_region	83857	2300364	27.43	8	51
scaffold_32	111164	3081794	27.72	0	95
scaffold_32_region	61099	1677273	27.45	10	52
scaffold_33	111132	2929738	26.36	2	74
scaffold_33_region	50448	1309005	25.95	7	41
scaffold_34	110970	3286469	29.62	4	200
scaffold_34_region	56468	1324840	23.46	8	39
scaffold_35	110698	2178634	19.68	3	39
scaffold_35_region	52137	1164525	22.34	4	39
scaffold_36	109872	2783141	25.33	7	54
scaffold_36_region	63060	1550137	24.58	10	52
scaffold_37	109719	2971995	27.09	0	164
scaffold_37_region	52233	1422716	27.24	11	46
scaffold_38	109579	3181271	29.03	1	54
scaffold_38_region	69229	2025238	29.25	11	52
scaffold_39	109437	2742759	25.06	1	48
scaffold_39_region	59999	1558347	25.97	7	48
scaffold_40	109435	2558954	23.38	0	56
scaffold_40_region	52114	1140762	21.89	8	41
scaffold_41	108938	2974148	27.30	8	129
scaffold_41_region	62322	1624739	26.07	8	39
scaffold_42	107748	3036375	28.18	1	118
scaffold_42_region	55895	1426396	25.52	4	38
scaffold_43	107727	2660545	24.70	4	62
scaffold_43_region	81393	1907640	23.44	6	43
scaffold_44	107046	3147800	29.41	0	63
scaffold_44_region	66180	1963528	29.67	10	57
scaffold_45	106984	2753651	25.74	1	41
scaffold_45_region	58932	1478758	25.09	9	41
scaffold_46	106580	2735703	25.67	7	73
scaffold_46_region	54751	1409827	25.75	8	44
scaffold_47	106121	2875661	27.10	0	126
scaffold_47_region	49910	1239922	24.84	9	53
scaffold_48	105510	3769033	35.72	10	257
scaffold_48_region	73405	1762759	24.01	10	41
scaffold_49	105335	2821931	26.79	1	71
scaffold_49_region	61755	1676536	27.15	7	44
scaffold_50	104632	2608763	24.93	4	52
scaffold_50_region	69523	1876372	26.99	6	52
scaffold_51	104631	2228879	21.30	0	50
scaffold_51_region	75814	1751527	23.10	7	50
scaffold_52	104328	3289958	31.53	5	177
scaffold_52_region	41181	1089105	26.45	13	41
scaffold_53	104243	2886435	27.69	2	157
scaffold_53_region	61866	1680444	27.16	10	50
scaffold_54	104173	2788624	26.77	5	79
scaffold_54_region	57982	1475008	25.44	9	62
scaffold_55	103520	2467060	23.83	0	42
scaffold_55_region	59710	1485926	24.89	10	42
scaffold_56	103126	2849938	27.64	0	74
scaffold_56_region	61396	1749059	28.49	8	60
scaffold_57	102640	1524515	14.85	4	25
scaffold_57_region	50673	731858	14.44	4	25
scaffold_58	101939	2707292	26.56	1	129
scaffold_58_region	50580	1279415	25.29	6	41
scaffold_59	101898	2550091	25.03	2	96
scaffold_59_region	37228	915886	24.60	10	36
scaffold_60	101408	2514299	24.79	0	42
scaffold_60_region	48296	1238850	25.65	0	42
scaffold_61	99494	3218050	32.34	0	168
scaffold_61_region	42405	1146260	27.03	11	52
scaffold_62	99360	2581022	25.98	1	85
scaffold_62_region	54941	1443407	26.27	8	48
scaffold_63	99296	4828615	48.63	0	197
scaffold_63_region	29612	709920	23.97	11	34
scaffold_64	99286	2397744	24.15	0	134
scaffold_64_region	52189	1299861	24.91	9	43
scaffold_65	99095	2517138	25.40	1	224
