scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	1311.167250	118.970103	356.418409	669.931359	1192.197146	954.748840	641.235890
scaffold_2	5539.698702	791.784584	3821.466075	4754.054235	4747.914117	1718.232626	785.644467
scaffold_3	3921.410134	-101.798364	1267.353186	3237.547682	4023.208498	2654.056948	683.862452
scaffold_4	1983.602785	-203.645081	347.537265	1474.820877	2187.247866	1636.065521	508.781909
scaffold_5	1061.414423	-66.658776	302.066030	837.212840	1128.073199	759.348393	224.201582
scaffold_6	13914.895199	-65.071961	2555.367745	9749.754657	13979.967160	11359.527454	4165.140542
scaffold_7	948.984884	86.006657	331.020270	739.377135	862.978227	617.964614	209.607749
scaffold_8	1387.212422	464.199349	1290.447180	881.303126	923.013073	96.765242	505.909296
scaffold_9	3114.424121	2113.936937	2257.546901	1213.358800	1000.487184	856.877220	1901.065321
scaffold_10	7308.935154	836.053482	2195.797449	976.142799	6472.881672	5113.137705	6332.792356
scaffold_11	956.500529	-99.950335	162.529098	686.552624	1056.450865	793.971431	269.947906
scaffold_12	450.342099	-45.530610	89.047670	330.774332	495.872709	361.294429	119.567767
scaffold_13	598.508231	389.865524	263.946150	329.310154	208.642706	334.562081	269.198077
scaffold_14	494.593488	-58.539938	71.440985	336.193724	553.133427	423.152504	158.399764
scaffold_15	1515.642543	-66.896967	399.100038	1272.930820	1582.539510	1116.542505	242.711723
scaffold_16	1983.996426	-139.327154	377.860135	1514.316471	2123.323579	1606.136291	469.679955
scaffold_17	3252.222533	-182.049750	771.460129	2677.725997	3434.272283	2480.762404	574.496536
scaffold_18	1508.003078	-106.404818	286.363862	1168.963651	1614.407896	1221.639215	339.039427
scaffold_19	5044.212242	-191.302969	979.689664	3690.136811	5235.515211	4064.522577	1354.075431
scaffold_20	600.194187	107.081507	403.082724	535.780226	493.112680	197.111462	64.413961
scaffold_21	1794.790678	265.089538	1135.350293	963.657678	1529.701140	659.440385	831.132999
scaffold_22	3127.655977	-184.636684	730.046365	2504.878409	3312.292661	2397.609612	622.777568
scaffold_23	365.236674	-12.275509	136.712418	310.062443	377.512183	228.524256	55.174231
scaffold_24	1563.819853	714.060671	1496.488015	1087.274937	849.759182	67.331838	476.544916
scaffold_25	582.003502	-39.624252	140.117493	482.687906	621.627755	441.886009	99.315597
scaffold_26	852.709622	-87.548157	189.260177	665.487251	940.257779	663.449444	187.222371
scaffold_27	683.458607	-56.575032	131.512850	492.953597	740.033639	551.945756	190.505010
scaffold_28	1133.674560	79.238076	671.059128	950.506236	1054.436484	462.615432	183.168324
scaffold_29	470.857639	-34.554731	120.504287	361.541878	505.412371	350.353352	109.315762
scaffold_30	3129.215011	2407.498117	2468.934572	1382.650980	721.716894	660.280440	1746.564031
scaffold_31	408.518039	0.518903	142.237767	332.079441	407.999137	266.280273	76.438599
scaffold_32	1330.973941	6.240716	596.555790	1147.619750	1324.733225	734.418151	183.354191
scaffold_33	644.056207	-72.345926	100.682150	463.459240	716.402133	543.374057	180.596967
scaffold_34	1494.136524	-10.474763	615.047606	1197.322910	1504.611287	879.088917	296.813613
scaffold_35	425.184261	-41.881911	78.078995	319.958904	467.066172	347.105266	105.225356
scaffold_36	823.367734	50.414108	275.806230	671.987159	772.953627	547.561504	151.380575
scaffold_37	1150.753613	79.192915	328.910033	739.386534	1071.560698	821.843580	411.367079
scaffold_38	1762.497502	-123.923140	404.796409	1404.578373	1886.420642	1357.701093	357.919130
scaffold_39	925.716169	-23.755086	321.566790	747.636864	949.471256	604.149379	178.079306
scaffold_40	366.541269	140.961730	338.311808	143.330569	225.579539	28.229461	223.210700
scaffold_41	1909.623950	33.184909	896.207168	1579.474575	1876.439041	1013.416782	330.149375
scaffold_42	860.954195	-99.532877	125.661163	601.585020	960.487072	735.293031	259.369175
scaffold_43	1720.872412	-41.991624	628.748917	1476.513192	1762.864036	1092.123495	244.359220
scaffold_44	976.196168	-97.878316	136.112237	686.167861	1074.074484	840.083931	290.028307
scaffold_45	1462.693845	-130.920136	180.305145	855.131653	1593.613980	1282.388699	607.562192
scaffold_46	638.340080	-13.210691	220.396932	433.542110	651.550771	417.943148	204.797970
scaffold_47	856.620003	-78.772814	228.650192	727.717231	935.392817	627.969811	128.902772
scaffold_48	11265.354531	207.935788	3809.163556	10295.380981	11057.418744	7456.190976	969.973551
scaffold_49	1739.784085	-69.481840	507.572479	1488.134248	1809.265925	1232.211606	251.649837
scaffold_50	1108.213760	-83.151083	235.831958	871.644055	1191.364843	872.381801	236.569705
scaffold_51	257.503306	79.409298	82.087412	98.880268	178.094008	175.415894	158.623037
