chrom	length	bases	mean	min	max
JASJQH010000001.1	86150	1858713	21.58	2	90
JASJQH010000001.1_region	66568	1393763	20.94	2	90
JASJQH010000002.1	74312	1623027	21.84	2	62
JASJQH010000002.1_region	56765	1232073	21.70	2	62
JASJQH010000003.1	73279	1807826	24.67	3	1493
JASJQH010000003.1_region	46518	1113824	23.94	5	1493
JASJQH010000004.1	70574	1379295	19.54	1	60
JASJQH010000004.1_region	56911	1101692	19.36	1	55
JASJQH010000005.1	68063	1473077	21.64	1	56
JASJQH010000005.1_region	49973	1047263	20.96	2	56
JASJQH010000006.1	61419	1281157	20.86	1	58
JASJQH010000006.1_region	48909	1005578	20.56	1	45
JASJQH010000007.1	61268	1211532	19.77	1	52
JASJQH010000007.1_region	47219	933256	19.76	1	52
JASJQH010000008.1	59311	1279089	21.57	2	283
JASJQH010000008.1_region	45847	943881	20.59	4	99
JASJQH010000009.1	58363	1168999	20.03	2	46
JASJQH010000009.1_region	49434	942405	19.06	3	45
JASJQH010000010.1	57365	1250389	21.80	2	120
JASJQH010000010.1_region	40076	843048	21.04	3	120
JASJQH010000011.1	57112	1208815	21.17	0	97
JASJQH010000011.1_region	35101	698086	19.89	5	46
JASJQH010000012.1	54911	1177773	21.45	0	56
JASJQH010000012.1_region	46746	983425	21.04	0	45
JASJQH010000013.1	54007	1317897	24.40	2	792
JASJQH010000013.1_region	39595	802408	20.27	6	67
JASJQH010000014.1	53554	1199796	22.40	0	194
JASJQH010000014.1_region	36697	825649	22.50	5	194
JASJQH010000015.1	51651	1120713	21.70	2	253
JASJQH010000015.1_region	48362	1013385	20.95	4	253
JASJQH010000016.1	51258	1147390	22.38	3	55
JASJQH010000016.1_region	40949	892288	21.79	6	55
JASJQH010000017.1	50761	1099847	21.67	3	66
JASJQH010000017.1_region	38721	827940	21.38	5	50
JASJQH010000018.1	49845	1076062	21.59	1	73
JASJQH010000018.1_region	38726	803729	20.75	4	56
JASJQH010000019.1	49655	1136739	22.89	1	439
JASJQH010000019.1_region	40565	874121	21.55	4	64
JASJQH010000020.1	48262	1139676	23.61	6	115
JASJQH010000020.1_region	36997	854510	23.10	6	60
JASJQH010000021.1	47999	1090761	22.72	4	52
JASJQH010000021.1_region	36097	802716	22.24	5	52
JASJQH010000022.1	46756	956395	20.46	2	95
JASJQH010000022.1_region	33729	660127	19.57	6	95
JASJQH010000023.1	46389	968316	20.87	3	70
JASJQH010000023.1_region	32094	644482	20.08	3	56
JASJQH010000024.1	46356	958353	20.67	1	59
JASJQH010000024.1_region	33712	661269	19.62	4	48
JASJQH010000025.1	45842	1049029	22.88	1	76
JASJQH010000025.1_region	29787	658383	22.10	4	76
JASJQH010000026.1	45315	990872	21.87	5	633
JASJQH010000026.1_region	31464	673860	21.42	5	633
JASJQH010000027.1	45150	1036172	22.95	3	89
JASJQH010000027.1_region	26923	573200	21.29	7	53
JASJQH010000028.1	44802	978006	21.83	2	103
JASJQH010000028.1_region	28993	599100	20.66	5	68
JASJQH010000029.1	44615	1028525	23.05	1	69
JASJQH010000029.1_region	33983	768733	22.62	5	69
JASJQH010000030.1	44430	968835	21.81	4	64
JASJQH010000030.1_region	35957	773134	21.50	4	47
JASJQH010000031.1	44000	901314	20.48	3	47
JASJQH010000031.1_region	36089	720354	19.96	3	47
JASJQH010000032.1	43381	891531	20.55	2	60
JASJQH010000032.1_region	34151	702189	20.56	4	60
JASJQH010000033.1	42843	924927	21.59	1	160
JASJQH010000033.1_region	31776	665872	20.96	4	160
JASJQH010000034.1	42537	889643	20.91	4	55
JASJQH010000034.1_region	37321	760747	20.38	5	48
JASJQH010000035.1	42022	1188098	28.27	5	1181
JASJQH010000035.1_region	28000	591042	21.11	5	51
JASJQH010000036.1	41762	461178	11.04	1	165
JASJQH010000036.1_region	26749	280820	10.50	2	31
JASJQH010000037.1	40575	808045	19.91	1	129
JASJQH010000037.1_region	33839	656462	19.40	1	129
JASJQH010000038.1	40361	855969	21.21	3	58
JASJQH010000038.1_region	31901	668304	20.95	5	48
JASJQH010000039.1	39984	837586	20.95	1	67
JASJQH010000039.1_region	31203	646279	20.71	2	67
JASJQH010000040.1	39921	867715	21.74	3	103
JASJQH010000040.1_region	25957	523385	20.16	5	57
JASJQH010000041.1	39616	527945	13.33	1	41
JASJQH010000041.1_region	16695	189728	11.36	1	29
JASJQH010000042.1	39414	825707	20.95	0	42
JASJQH010000042.1_region	23511	483917	20.58	5	42
JASJQH010000043.1	39257	453425	11.55	1	102
JASJQH010000043.1_region	25720	283101	11.01	1	102
JASJQH010000044.1	39109	804012	20.56	0	53
JASJQH010000044.1_region	32669	653542	20.00	0	53
JASJQH010000045.1	38998	838784	21.51	0	55
JASJQH010000045.1_region	32463	687914	21.19	1	55
JASJQH010000046.1	38556	901665	23.39	1	260
JASJQH010000046.1_region	26538	604096	22.76	9	260
JASJQH010000047.1	38371	817564	21.31	4	52
JASJQH010000047.1_region	26399	530372	20.09	5	52
JASJQH010000048.1	38251	840714	21.98	1	103
JASJQH010000048.1_region	33143	725051	21.88	1	103
JASJQH010000049.1	38204	778003	20.36	5	51
JASJQH010000049.1_region	29364	579972	19.75	5	46
JASJQH010000050.1	38105	475582	12.48	1	48
JASJQH010000050.1_region	14794	186487	12.61	2	48
JASJQH010000051.1	37933	736155	19.41	1	100
JASJQH010000051.1_region	32221	609589	18.92	1	100
JASJQH010000052.1	37637	894291	23.76	1	82
JASJQH010000052.1_region	29728	673176	22.64	3	64
JASJQH010000053.1	37289	815712	21.88	4	152
JASJQH010000053.1_region	28006	560205	20.00	4	49
JASJQH010000054.1	37179	785656	21.13	1	58
JASJQH010000054.1_region	29068	605125	20.82	5	52
JASJQH010000055.1	37017	902376	24.38	1	134
JASJQH010000055.1_region	28393	663267	23.36	4	134
JASJQH010000056.1	36861	471132	12.78	1	160
JASJQH010000056.1_region	12946	139750	10.79	1	22
JASJQH010000057.1	36775	787564	21.42	5	54
JASJQH010000057.1_region	29567	605241	20.47	6	50
JASJQH010000058.1	36516	462453	12.66	1	38
JASJQH010000058.1_region	18222	225772	12.39	1	37
JASJQH010000059.1	36069	1219988	33.82	1	592
JASJQH010000059.1_region	28704	951336	33.14	3	592
JASJQH010000060.1	36038	789885	21.92	2	56
JASJQH010000060.1_region	24379	532957	21.86	2	52
JASJQH010000061.1	36031	954497	26.49	7	1196
JASJQH010000061.1_region	19748	429006	21.72	7	50
JASJQH010000062.1	35895	397997	11.09	1	39
JASJQH010000062.1_region	16592	172996	10.43	2	26
JASJQH010000063.1	35538	735551	20.70	1	69
JASJQH010000063.1_region	29377	595284	20.26	1	69
JASJQH010000064.1	35382	730559	20.65	2	55
JASJQH010000064.1_region	20812	421495	20.25	4	55
JASJQH010000065.1	34773	701652	20.18	1	47
JASJQH010000065.1_region	27267	550141	20.18	3	47
JASJQH010000066.1	34397	455042	13.23	1	367
JASJQH010000066.1_region	11334	136560	12.05	1	34
JASJQH010000067.1	34228	760018	22.20	1	50
JASJQH010000067.1_region	28141	615787	21.88	5	50
JASJQH010000068.1	34111	978060	28.67	5	909
JASJQH010000068.1_region	15884	327331	20.61	7	60
JASJQH010000069.1	33840	2092124	61.82	3	16507
JASJQH010000069.1_region	30051	2000089	66.56	3	16507
JASJQH010000070.1	33789	867973	25.69	5	870
JASJQH010000070.1_region	27005	575743	21.32	5	870
JASJQH010000071.1	33728	955444	28.33	2	5842
JASJQH010000071.1_region	16157	192289	11.90	2	27
JASJQH010000072.1	33637	747146	22.21	0	56
JASJQH010000072.1_region	24894	542008	21.77	5	47
JASJQH010000073.1	33535	752991	22.45	3	61
JASJQH010000073.1_region	23757	513419	21.61	4	53
JASJQH010000074.1	33498	722927	21.58	2	962
JASJQH010000074.1_region	23810	514492	21.61	2	962
JASJQH010000075.1	33447	683677	20.44	2	58
JASJQH010000075.1_region	22366	447259	20.00	5	58
JASJQH010000076.1	33314	700072	21.01	2	53
JASJQH010000076.1_region	28780	593970	20.64	2	53
JASJQH010000077.1	33193	753195	22.69	0	64
JASJQH010000077.1_region	25995	541639	20.84	1	55
JASJQH010000078.1	33114	718170	21.69	2	58
JASJQH010000078.1_region	24394	513470	21.05	3	47
JASJQH010000079.1	32901	736032	22.37	0	64
JASJQH010000079.1_region	24361	524336	21.52	0	54
JASJQH010000080.1	32745	642002	19.61	1	51
JASJQH010000080.1_region	22328	449475	20.13	4	51
JASJQH010000081.1	32617	701442	21.51	3	82
JASJQH010000081.1_region	23211	482284	20.78	3	82
JASJQH010000082.1	32482	734741	22.62	2	51
