chrom	length	bases	mean	min	max
scaffold_1	345098	453363677	1313.72	0	66910
scaffold_1_region	98605	167369763	1697.38	236	66910
scaffold_2	312558	209906944	671.58	5	58776
scaffold_2_region	137722	118150943	857.89	246	21285
scaffold_3	287976	228367296	793.01	2	22364
scaffold_3_region	119187	120981914	1015.06	136	22364
scaffold_4	280066	328355293	1172.42	4	29765
scaffold_4_region	130400	191841554	1471.18	52	29765
scaffold_5	279783	278535974	995.54	33	19474
scaffold_5_region	138906	173431980	1248.56	315	19474
scaffold_6	268249	127993226	477.14	1	60357
scaffold_6_region	98467	49321125	500.89	224	7282
scaffold_7	267059	171964651	643.92	27	16399
scaffold_7_region	98739	70233801	711.31	336	3231
scaffold_8	266172	266282597	1000.42	35	41939
scaffold_8_region	147469	189684865	1286.27	200	41939
scaffold_9	265035	248603679	938.00	72	82521
scaffold_9_region	78016	99117382	1270.48	264	50875
scaffold_10	264164	244083159	923.98	0	31643
scaffold_10_region	117096	171135612	1461.50	255	31643
scaffold_11	261329	108029827	413.39	64	8535
scaffold_11_region	96202	45063002	468.42	194	8535
scaffold_12	261008	396441837	1518.89	5	260959
scaffold_12_region	89003	44766530	502.98	203	3629
scaffold_13	260741	314392719	1205.77	1	32413
scaffold_13_region	126771	189022436	1491.05	66	32413
scaffold_14	257940	167784120	650.48	18	37778
scaffold_14_region	91628	77444426	845.20	232	37778
scaffold_15	251256	266035044	1058.82	0	7129
scaffold_15_region	141485	169462435	1197.74	181	6662
scaffold_16	251232	121719801	484.49	0	15886
scaffold_16_region	101470	55682084	548.75	211	15886
scaffold_17	250631	308797035	1232.08	2	61588
scaffold_17_region	144294	236946928	1642.11	349	61588
scaffold_18	246065	114751347	466.35	134	49980
scaffold_18_region	53143	34521958	649.60	262	20956
scaffold_19	245994	129113079	524.86	32	50158
scaffold_19_region	101795	56841684	558.39	214	50158
scaffold_20	244099	128106782	524.81	6	61310
scaffold_20_region	110985	69535375	626.53	13	25650
scaffold_21	236026	148267368	628.18	14	70498
scaffold_21_region	90960	66926556	735.78	270	12829
scaffold_22	235239	186669075	793.53	28	87427
scaffold_22_region	108283	106261181	981.33	28	20103
scaffold_23	232614	218765057	940.46	33	53007
scaffold_23_region	125676	130403097	1037.61	133	21533
scaffold_24	231500	143617975	620.38	63	13704
scaffold_24_region	62198	46191757	742.66	373	6826
scaffold_25	231036	144152140	623.94	0	17730
scaffold_25_region	111659	81506208	729.96	9	8612
scaffold_26	230790	226248099	980.32	51	42645
scaffold_26_region	99488	136640692	1373.44	293	42645
scaffold_27	229760	205165073	892.95	6	13899
scaffold_27_region	100584	103341473	1027.41	35	6669
scaffold_28	227861	222369499	975.90	7	54596
scaffold_28_region	76168	121863973	1599.94	335	40169
scaffold_29	226334	157753169	696.99	38	17566
scaffold_29_region	92574	76369994	824.96	336	17566
scaffold_30	224926	145225783	645.66	141	22349
scaffold_30_region	86294	60956429	706.38	304	22349
scaffold_31	218345	188661883	864.05	38	20703
scaffold_31_region	106413	123955728	1164.86	309	20703
scaffold_32	218243	144043743	660.02	0	52751
scaffold_32_region	61632	50906248	825.97	159	10476
scaffold_33	214922	160136685	745.09	16	30965
scaffold_33_region	99256	90894722	915.76	251	10515
scaffold_34	214711	163767434	762.73	0	32941
scaffold_34_region	102640	86835635	846.02	266	24311
scaffold_35	205623	95329348	463.61	14	12479
scaffold_35_region	79283	42810792	539.97	199	12479
scaffold_36	205583	181937220	884.98	14	31527
scaffold_36_region	79533	92385153	1161.60	318	31527
scaffold_37	204377	145030280	709.62	26	47655
scaffold_37_region	58774	59617288	1014.35	26	25680
scaffold_38	204214	92703113	453.95	11	24821
scaffold_38_region	72173	39348745	545.20	216	10371
scaffold_39	203631	156557588	768.83	93	9514
scaffold_39_region	93939	88024945	937.04	130	9514
scaffold_40	203613	128615967	631.67	305	7466
scaffold_40_region	62689	43152342	688.36	335	6490
scaffold_41	202278	96127519	475.22	6	7453
scaffold_41_region	99053	52690314	531.94	149	3744
scaffold_42	202103	233446811	1155.09	0	43188
scaffold_42_region	106080	112837242	1063.70	5	43188
scaffold_43	201235	185112613	919.88	1	25709
scaffold_43_region	43924	58267078	1326.54	118	25709
scaffold_44	199526	183646435	920.41	0	36331
scaffold_44_region	89604	100012905	1116.17	257	36331
scaffold_45	198920	161389496	811.33	4	14363
scaffold_45_region	74382	75999593	1021.75	172	5082
scaffold_46	197580	184373507	933.16	0	25629
scaffold_46_region	51285	63712893	1242.33	216	25629
scaffold_47	197527	174272857	882.27	23	40100
scaffold_47_region	101772	115516839	1135.06	163	24021
scaffold_48	196824	142003338	721.47	22	18604
scaffold_48_region	55174	39288883	712.09	393	5149
scaffold_49	196271	96302440	490.66	38	16136
scaffold_49_region	58848	37330986	634.36	276	6703
scaffold_50	196094	161372786	822.94	205	48314
scaffold_50_region	82342	85383165	1036.93	234	19016
scaffold_51	195978	156806386	800.12	19	19572
scaffold_51_region	94818	101297557	1068.34	193	19572
scaffold_52	195875	188518683	962.44	33	11747
scaffold_52_region	89054	99728152	1119.86	472	8905
scaffold_53	195720	167083538	853.69	8	19350
scaffold_53_region	87265	102767682	1177.65	10	19350
scaffold_54	195626	91830929	469.42	18	49647
scaffold_54_region	48256	26287683	544.75	248	19353
scaffold_55	195568	91047722	465.56	20	34612
scaffold_55_region	112989	57417047	508.16	222	34612
scaffold_56	195544	255176838	1304.96	0	292318
scaffold_56_region	65450	138047369	2109.20	220	292318
scaffold_57	195528	199172301	1018.64	55	31612
scaffold_57_region	74768	95707298	1280.06	326	9151
scaffold_58	195199	133055419	681.64	0	17041
scaffold_58_region	51350	58966150	1148.32	253	17041
scaffold_59	194855	84413765	433.21	56	10538
scaffold_59_region	69366	34276869	494.15	153	10538
scaffold_60	194042	103694544	534.39	0	7945
scaffold_60_region	22591	20988477	929.06	99	2078
scaffold_61	193232	91708667	474.60	37	13304
scaffold_61_region	68753	35455196	515.69	216	8605
scaffold_62	192483	119272987	619.65	332	18755
scaffold_62_region	56809	45398814	799.15	332	9848
scaffold_63	192077	98028166	510.36	0	154795
scaffold_63_region	59167	31482226	532.09	221	4106
scaffold_64	191282	168571808	881.27	79	53801
scaffold_64_region	45416	56319485	1240.08	276	8226
scaffold_65	191030	86202863	451.25	187	9492
scaffold_65_region	73560	38612058	524.91	241	9492
scaffold_66	190381	88175775	463.15	10	8093
scaffold_66_region	68954	32916346	477.37	249	6552
scaffold_67	188334	164020584	870.90	0	49636
scaffold_67_region	44481	63651507	1430.98	85	19399
scaffold_68	187937	150934846	803.11	0	12292
scaffold_68_region	83070	86601523	1042.51	248	4694
scaffold_69	187922	80466265	428.19	72	19928
scaffold_69_region	42888	21719165	506.42	210	19928
scaffold_70	187137	120559863	644.23	49	27231
scaffold_70_region	75788	67524884	890.97	196	27231
scaffold_71	186328	115260836	618.59	62	20161
scaffold_71_region	62544	60976559	974.94	283	5116
scaffold_72	185201	150159905	810.79	2	42070
scaffold_72_region	76265	81781316	1072.33	67	10766
scaffold_73	185179	148775113	803.41	0	18925
scaffold_73_region	81022	85036965	1049.55	189	8901
scaffold_74	185105	177276917	957.71	8	69329
scaffold_74_region	58134	79070016	1360.13	301	33141
scaffold_75	183340	137763669	751.41	43	28809
scaffold_75_region	79992	83059773	1038.35	256	28809
scaffold_76	182642	95431313	522.50	89	33440
scaffold_76_region	58855	37338664	634.42	214	19520
scaffold_77	181543	123586913	680.76	20	10493
scaffold_77_region	67384	58904986	874.17	290	10493
scaffold_78	181022	91624780	506.15	0	8779
scaffold_78_region	92466	51390934	555.78	215	8779
scaffold_79	180378	146605888	812.77	24	16269
scaffold_79_region	61394	68729698	1119.49	139	16269
scaffold_80	180151	87070342	483.32	0	18017
scaffold_80_region	40865	26492574	648.29	220	8949
scaffold_81	180027	144793976	804.29	0	10131
scaffold_81_region	50300	57098838	1135.17	2	10131
scaffold_82	179213	88492926	493.79	34	18863
scaffold_82_region	95049	58946879	620.17	34	16528
scaffold_83	178484	173299366	970.95	24	27182
scaffold_83_region	52520	72911300	1388.26	65	22974
scaffold_84	178273	83311572	467.33	7	29491
scaffold_84_region	41103	19835361	482.58	149	1914
scaffold_85	178075	195666934	1098.79	29	110624
scaffold_85_region	65113	83394576	1280.77	300	41296
scaffold_86	178047	96440297	541.66	242	34201
scaffold_86_region	58617	36417513	621.28	279	3907
scaffold_87	177289	118702680	669.54	0	28291
scaffold_87_region	57333	53189085	927.72	191	28291
scaffold_88	176781	123137278	696.55	0	3959
scaffold_88_region	48989	38272666	781.25	272	2672
scaffold_89	176663	87076492	492.90	62	35614
scaffold_89_region	38173	21254973	556.81	217	3100
scaffold_90	176536	116631361	660.67	3	14217
scaffold_90_region	66016	61515831	931.83	84	14217
scaffold_91	176312	160544420	910.57	65	245206
scaffold_91_region	58344	61948613	1061.78	236	15344
scaffold_92	175583	243253731	1385.41	7	192433
scaffold_92_region	61285	79152232	1291.54	223	3713
scaffold_93	175281	141913966	809.64	2	26896
scaffold_93_region	80383	84821635	1055.22	15	13590
scaffold_94	174871	120970618	691.77	1	34127
scaffold_94_region	64866	51776805	798.21	191	13790
scaffold_95	173419	106031768	611.42	0	181069
scaffold_95_region	51013	42041604	824.14	244	10890
scaffold_96	173074	247873914	1432.18	17	60230
scaffold_96_region	45442	77648514	1708.74	210	60230
scaffold_97	172649	119402014	691.59	36	37838
scaffold_97_region	71284	53790135	754.59	157	37838
scaffold_98	172586	111315931	644.99	24	20272
scaffold_98_region	80612	57835723	717.46	277	11786
scaffold_99	172544	78155872	452.96	192	8413
scaffold_99_region	46496	21567451	463.86	212	3445
scaffold_100	172446	181722538	1053.79	0	37780
scaffold_100_region	78431	122191653	1557.95	0	37780
scaffold_101	172275	162039607	940.59	0	21605
scaffold_101_region	73500	97224227	1322.78	349	21605
scaffold_102	171613	138971037	809.79	26	105603
scaffold_102_region	51219	40340364	787.61	158	7004
scaffold_103	171533	155891826	908.82	15	16608
scaffold_103_region	59885	80496323	1344.18	15	7155
scaffold_104	171030	182849281	1069.11	68	22395
scaffold_104_region	89410	123349993	1379.60	313	22395
scaffold_105	170903	115431964	675.42	52	20351
scaffold_105_region	75282	64757893	860.20	215	20351
scaffold_106	169885	103806180	611.04	7	19752
scaffold_106_region	51836	33934785	654.66	312	12862
scaffold_107	169371	143847972	849.31	7	223055
scaffold_107_region	37710	37624053	997.72	182	11827
scaffold_108	168834	72071877	426.88	28	18977
scaffold_108_region	9484	7583212	799.58	260	5845
scaffold_109	168488	147534972	875.64	0	32572
scaffold_109_region	42766	86759304	2028.70	235	32572
scaffold_110	168042	133617438	795.14	23	140403
scaffold_110_region	48122	25006365	519.65	234	11763
scaffold_111	168003	110827601	659.68	12	26281
scaffold_111_region	72501	61155438	843.51	226	16782
scaffold_112	167007	187536907	1122.93	41	306043
scaffold_112_region	5460	2894189	530.07	358	1156
scaffold_113	166294	88212343	530.46	10	138964
scaffold_113_region	51028	31424353	615.83	238	19283
scaffold_114	165975	122311688	736.93	25	44499
scaffold_114_region	30295	37433002	1235.62	256	12721
scaffold_115	164146	144809499	882.20	14	224298
scaffold_115_region	54118	57777877	1067.63	125	14786
scaffold_116	164131	172075673	1048.40	22	57728
scaffold_116_region	43819	94430661	2155.02	258	57728
scaffold_117	163749	86642145	529.12	0	135934
scaffold_117_region	49693	27353370	550.45	241	135934
scaffold_118	162657	99832070	613.76	141	5566
scaffold_118_region	20705	15509422	749.07	339	2761
scaffold_119	162364	162957599	1003.66	27	90752
scaffold_119_region	48509	64469801	1329.03	403	4560
scaffold_120	161998	137562602	849.16	19	119217
scaffold_120_region	25710	24364584	947.67	367	4540
scaffold_121	161866	128503891	793.89	0	23114
