chrom	length	bases	mean	min	max
scaffold_1	286095	27191963	95.05	0	5341
scaffold_1_region	177553	27249542	153.47	0	5341
scaffold_2	250715	12560485	50.10	0	2499
scaffold_2_region	146732	12447368	84.83	0	2499
scaffold_3	237684	11585452	48.74	0	5666
scaffold_3_region	114251	10885228	95.27	0	5666
scaffold_4	234603	28384008	120.99	0	6605
scaffold_4_region	123688	27024158	218.49	0	6605
scaffold_5	229968	16566757	72.04	0	7003
scaffold_5_region	104668	16493848	157.58	0	7003
scaffold_6	220597	21440303	97.19	0	4793
scaffold_6_region	136606	20488895	149.99	0	4793
scaffold_7	207794	14473597	69.65	0	4674
scaffold_7_region	91979	14203923	154.43	0	4674
scaffold_8	205139	5761557	28.09	0	1133
scaffold_8_region	85091	4994790	58.70	0	932
scaffold_9	198841	7450961	37.47	0	2142
scaffold_9_region	41351	4824186	116.66	0	2142
scaffold_10	198646	38565101	194.14	0	8235
scaffold_10_region	81135	38343552	472.59	0	8235
scaffold_11	195129	47817612	245.06	0	97213
scaffold_11_region	68274	45362073	664.41	0	97213
scaffold_12	190750	7571385	39.69	0	2028
scaffold_12_region	81855	7637529	93.31	0	2028
scaffold_13	189766	14019775	73.88	0	2130
scaffold_13_region	77741	13291109	170.97	0	2130
scaffold_14	189507	13323086	70.30	0	4616
scaffold_14_region	111513	12854155	115.27	0	4616
scaffold_15	189048	25421921	134.47	0	3879
scaffold_15_region	76404	15887681	207.94	0	3879
scaffold_16	187219	7919672	42.30	0	3183
scaffold_16_region	59988	7562193	126.06	0	3183
scaffold_17	184133	24222700	131.55	0	7850
scaffold_17_region	108697	23577783	216.91	0	7850
scaffold_18	183724	7893271	42.96	0	1985
scaffold_18_region	60542	8249902	136.27	0	1985
scaffold_19	182521	30192858	165.42	0	17137
scaffold_19_region	109634	29968210	273.35	0	17137
scaffold_20	178170	12343585	69.28	0	3085
scaffold_20_region	92849	12043294	129.71	0	3085
scaffold_21	177841	19499365	109.64	0	6393
scaffold_21_region	84826	18517378	218.30	0	6393
scaffold_22	177019	14721172	83.16	0	2253
scaffold_22_region	92806	14651122	157.87	0	2253
scaffold_23	176558	10246965	58.04	0	3383
scaffold_23_region	86149	9965837	115.68	0	3383
scaffold_24	174977	12607574	72.05	0	1790
scaffold_24_region	95370	12657061	132.72	0	1790
