scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	7800.184529	1445.932892	4358.156777	5379.438516	6354.251637	3442.027752	2420.746013
scaffold_2	4920.834897	4497.862619	2318.236589	2293.209804	422.972278	2602.598308	2627.625093
scaffold_3	5944.034717	4640.175362	4513.825465	2390.833604	1303.859355	1430.209252	3553.201113
scaffold_4	8326.046847	7152.053373	3666.852927	3543.280060	1173.993474	4659.193921	4782.766787
scaffold_5	2279.823041	1338.350021	1366.501316	854.365861	941.473020	913.321724	1425.457180
scaffold_6	3485.179152	920.976728	2560.276297	3064.426320	2564.202424	924.902855	420.752832
scaffold_7	4672.101922	4295.633180	2818.574739	2175.197707	376.468742	1853.527183	2496.904215
scaffold_8	4408.157596	-441.314850	268.098677	2499.651259	4849.472446	4140.058919	1908.506337
scaffold_9	344.399001	-14.067912	103.640469	280.405746	358.466913	240.758532	63.993255
scaffold_10	5851.707481	4441.285732	3091.837791	3014.510196	1410.421749	2759.869690	2837.197285
scaffold_11	7743.288951	3516.225013	4308.911781	6378.350890	4227.063938	3434.377170	1364.938061
scaffold_12	1612.836572	70.465006	896.021423	1456.800076	1542.371566	716.815149	156.036495
scaffold_13	2471.314680	1510.038110	1175.994997	1551.920291	961.276570	1295.319683	919.394389
scaffold_14	8277.318290	2423.495609	2417.056488	7449.636283	5853.822681	5860.261802	827.682007
scaffold_15	12257.717283	10134.969152	3663.847229	4547.639903	2122.748131	8593.870055	7710.077381
scaffold_16	15232.479107	5108.460661	11415.024526	5800.575383	10124.018446	3817.454581	9431.903724
scaffold_17	5586.815582	-45.060467	1949.710660	5041.242989	5631.876050	3637.104923	545.572593
scaffold_18	4676.213660	4440.703180	1597.829050	2760.287244	235.510480	3078.384611	1915.926416
scaffold_19	4838.262920	-94.372531	1139.520331	4060.777508	4932.635451	3698.742589	777.485412
scaffold_20	18879.199311	4780.679109	9949.432865	13428.854583	14098.520202	8929.766446	5450.344728
scaffold_21	4049.494796	-24.078740	1407.504370	3752.320341	4073.573536	2641.990426	297.174456
scaffold_22	8185.892572	2478.257208	4779.040233	7220.226918	5707.635364	3406.852340	965.665654
scaffold_23	2948.394247	-181.911622	653.872991	2244.449573	3130.305869	2294.521255	703.944674
scaffold_24	1982.979783	-83.422576	562.160008	1694.342387	2066.402359	1420.819775	288.637396
scaffold_25	8109.105032	573.219712	4216.313564	7879.554268	7535.885320	3892.791467	229.550764
