chrom	length	bases	mean	min	max
scaffold_1	179448	3449979	19.23	0	44
scaffold_1_region	131311	2528531	19.26	0	35
scaffold_2	160235	40850425	254.94	4	2709
scaffold_2_region	2260	498042	220.37	31	1056
scaffold_3	151914	2826084	18.60	0	42
scaffold_3_region	89692	1691713	18.86	4	42
scaffold_4	148811	2793179	18.77	4	112
scaffold_4_region	108642	1959812	18.04	5	48
scaffold_5	135761	3168129	23.34	1	74
scaffold_5_region	89900	2083804	23.18	8	45
scaffold_6	129058	1239669891	9605.53	17	24718
scaffold_6_region	34041	314943720	9251.89	317	18023
scaffold_7	126374	3173653	25.11	0	471
scaffold_7_region	79451	1712315	21.55	8	34
scaffold_8	123654	2440716	19.74	0	67
scaffold_8_region	60937	1282318	21.04	0	34
scaffold_9	121750	3433232	28.20	1	165
scaffold_9_region	71747	1600217	22.30	7	62
scaffold_10	121012	2716404	22.45	1	111
scaffold_10_region	58251	1201514	20.63	10	49
scaffold_11	116255	3667212	31.54	6	246
scaffold_11_region	71747	1815328	25.30	9	41
scaffold_12	111772	2014501	18.02	6	62
scaffold_12_region	80116	1435679	17.92	6	33
scaffold_13	111290	2907055	26.12	8	201
scaffold_13_region	86857	1813534	20.88	8	57
scaffold_14	108533	2027390	18.68	0	45
scaffold_14_region	75970	1434651	18.88	7	34
scaffold_15	107844	2739983	25.41	0	61
scaffold_15_region	75290	1868767	24.82	1	46
scaffold_16	107789	2012931	18.67	2	47
scaffold_16_region	78115	1442800	18.47	6	34
scaffold_17	107762	1959177	18.18	3	34
scaffold_17_region	72932	1336413	18.32	3	34
scaffold_18	107112	2325364	21.71	1	41
scaffold_18_region	81168	1787821	22.03	1	41
scaffold_19	105030	2850531	27.14	1	149
scaffold_19_region	62647	1329965	21.23	6	113
scaffold_20	103555	1789244	17.28	1	85
scaffold_20_region	65993	1038282	15.73	5	31
scaffold_21	102539	2150561	20.97	0	44
scaffold_21_region	12436	244546	19.66	1	33
scaffold_22	102017	2357337	23.11	1	60
scaffold_22_region	57671	1293598	22.43	9	40
scaffold_23	96844	2200412	22.72	7	112
scaffold_23_region	80828	1704510	21.09	8	38
scaffold_24	96817	2435035	25.15	0	83
scaffold_24_region	61728	1512761	24.51	8	59
