chrom	length	bases	mean	min	max
scaffold_1	345098	130821218	379.08	7	13125
scaffold_1_region	98605	33585052	340.60	40	13079
scaffold_2	312558	51139859	163.62	32	2157
scaffold_2_region	137722	23104126	167.76	57	314
scaffold_3	287976	55556170	192.92	16	484
scaffold_3_region	119187	24653047	206.84	53	398
scaffold_4	280066	82764781	295.52	15	974
scaffold_4_region	130400	40336705	309.33	15	430
scaffold_5	279783	70155394	250.75	38	650
scaffold_5_region	138906	38329161	275.94	101	390
scaffold_6	268249	30698755	114.44	13	434
scaffold_6_region	98467	10854790	110.24	46	171
scaffold_7	267059	45948260	172.05	65	832
scaffold_7_region	98739	16067597	162.73	84	247
scaffold_8	266172	51862996	194.85	41	601
scaffold_8_region	147469	31171465	211.38	95	319
scaffold_9	265035	61663055	232.66	40	777
scaffold_9_region	78016	20693183	265.24	112	489
scaffold_10	264164	43301515	163.92	42	837
scaffold_10_region	117096	21229469	181.30	62	344
scaffold_11	261329	29058908	111.20	23	246
scaffold_11_region	96202	10783340	112.09	47	162
scaffold_12	261008	67960429	260.38	42	34288
scaffold_12_region	89003	9519262	106.95	49	171
scaffold_13	260741	60902165	233.57	10	361
scaffold_13_region	126771	33219556	262.04	104	361
scaffold_14	257940	41298911	160.11	30	473
scaffold_14_region	91628	15404740	168.12	48	435
scaffold_15	251256	71681156	285.29	32	439
scaffold_15_region	141485	43034598	304.16	95	439
scaffold_16	251232	32930762	131.08	42	1732
scaffold_16_region	101470	11003685	108.44	54	163
scaffold_17	250631	61751259	246.38	10	446
scaffold_17_region	144294	37696536	261.25	115	350
scaffold_18	246065	29254894	118.89	47	273
scaffold_18_region	53143	7027039	132.23	47	244
scaffold_19	245994	37254762	151.45	51	3106
scaffold_19_region	101795	11424651	112.23	54	157
scaffold_20	244099	27017948	110.68	2	305
scaffold_20_region	110985	12059929	108.66	45	193
scaffold_21	236026	36286466	153.74	55	382
scaffold_21_region	90960	13413884	147.47	69	228
scaffold_22	235239	43523458	185.02	25	516
scaffold_22_region	108283	22079410	203.90	70	286
scaffold_23	232614	52313841	224.90	83	678
scaffold_23_region	125676	27496576	218.79	108	384
scaffold_24	231500	39834757	172.07	65	432
scaffold_24_region	62198	10545118	169.54	86	390
scaffold_25	231036	35434468	153.37	1	235
scaffold_25_region	111659	17926175	160.54	15	235
scaffold_26	230790	53552217	232.04	30	982
scaffold_26_region	99488	26048490	261.83	87	351
scaffold_27	229760	54650055	237.86	26	704
scaffold_27_region	100584	24680334	245.37	43	417
scaffold_28	227861	44974383	197.38	15	452
scaffold_28_region	76168	18895769	248.08	85	376
scaffold_29	226334	38952488	172.10	57	699
scaffold_29_region	92574	14710604	158.91	91	211
scaffold_30	224926	38465535	171.01	39	566
scaffold_30_region	86294	13976817	161.97	89	240
scaffold_31	218345	39273258	179.87	50	449
scaffold_31_region	106413	22879103	215.00	95	329
scaffold_32	218243	35403371	162.22	4	1359
scaffold_32_region	61632	11230361	182.22	67	308
scaffold_33	214922	38680339	179.97	21	448
scaffold_33_region	99256	20082209	202.33	69	286
scaffold_34	214711	38637155	179.95	18	364
scaffold_34_region	102640	19174696	186.82	72	333
scaffold_35	205623	23752310	115.51	20	612
scaffold_35_region	79283	8285032	104.50	47	158
scaffold_36	205583	47051513	228.87	28	1973
scaffold_36_region	79533	16499965	207.46	95	273
scaffold_37	204377	36182730	177.04	35	372
scaffold_37_region	58774	11831785	201.31	78	288
scaffold_38	204214	23197995	113.60	43	413
scaffold_38_region	72173	8006446	110.93	59	163
scaffold_39	203631	41844625	205.49	40	350
scaffold_39_region	93939	22012332	234.33	60	350
scaffold_40	203613	36109769	177.35	69	675
scaffold_40_region	62689	10303543	164.36	86	233
scaffold_41	202278	22118943	109.35	1	213
scaffold_41_region	99053	10599122	107.00	48	163
scaffold_42	202103	78029747	386.09	58	4572
scaffold_42_region	106080	22831161	215.23	86	623
scaffold_43	201235	48825585	242.63	22	4068
scaffold_43_region	43924	10896454	248.08	42	4053
scaffold_44	199526	41479497	207.89	25	687
scaffold_44_region	89604	17467891	194.95	35	287
scaffold_45	198920	42377902	213.04	11	441
scaffold_45_region	74382	17452513	234.63	27	316
scaffold_46	197580	45296538	229.26	1	3160
scaffold_46_region	51285	12500565	243.75	67	3147
scaffold_47	197527	36530365	184.94	13	303
scaffold_47_region	101772	21379986	210.08	83	303
scaffold_48	196824	35757121	181.67	26	863
scaffold_48_region	55174	9133361	165.54	85	224
scaffold_49	196271	24303937	123.83	36	436
scaffold_49_region	58848	7492704	127.32	36	178
scaffold_50	196094	36264232	184.93	46	812
scaffold_50_region	82342	17678812	214.70	64	352
scaffold_51	195978	36842403	187.99	17	947
scaffold_51_region	94818	20321401	214.32	111	307
scaffold_52	195875	52547852	268.27	108	1619
scaffold_52_region	89054	22450542	252.10	117	334
scaffold_53	195720	37470397	191.45	2	680
scaffold_53_region	87265	17322984	198.51	3	303
scaffold_54	195626	23236055	118.78	50	621
scaffold_54_region	48256	5569536	115.42	54	155
scaffold_55	195568	21372268	109.28	5	315
scaffold_55_region	112989	12419052	109.91	60	149
scaffold_56	195544	55583372	284.25	67	2205
scaffold_56_region	65450	15815272	241.64	86	533
scaffold_57	195528	48686225	249.00	64	829
scaffold_57_region	74768	19681102	263.23	128	340
scaffold_58	195199	35963787	184.24	12	1269
scaffold_58_region	51350	11215272	218.41	111	390
scaffold_59	194855	23222389	119.18	38	695
scaffold_59_region	69366	7885873	113.68	55	168
scaffold_60	194042	28766992	148.25	3	334
scaffold_60_region	22591	4828401	213.73	12	334
scaffold_61	193232	23575391	122.01	45	623
scaffold_61_region	68753	7651129	111.28	45	159
scaffold_62	192483	30676951	159.37	74	209
scaffold_62_region	56809	9229340	162.46	74	209
scaffold_63	192077	23712138	123.45	17	476
scaffold_63_region	59167	6362120	107.53	56	155
scaffold_64	191282	37380274	195.42	23	423
scaffold_64_region	45416	10164196	223.80	88	339
scaffold_65	191030	22032848	115.34	21	545
scaffold_65_region	73560	8020833	109.04	55	149
scaffold_66	190381	22663219	119.04	17	368
scaffold_66_region	68954	7054622	102.31	43	156
scaffold_67	188334	37315256	198.13	16	615
scaffold_67_region	44481	10499877	236.05	61	516
scaffold_68	187937	38475328	204.72	51	798
scaffold_68_region	83070	20686414	249.02	55	524
scaffold_69	187922	21454359	114.17	48	229
scaffold_69_region	42888	4786154	111.60	48	164
scaffold_70	187137	29383940	157.02	43	1038
scaffold_70_region	75788	13909772	183.54	63	254
scaffold_71	186328	28019958	150.38	53	480
scaffold_71_region	62544	12512469	200.06	54	297
scaffold_72	185201	34528127	186.44	42	919
scaffold_72_region	76265	15895700	208.43	78	298
scaffold_73	185179	39041403	210.83	55	1759
scaffold_73_region	81022	19019838	234.75	56	403
scaffold_74	185105	31922434	172.46	47	641
scaffold_74_region	58134	11876992	204.30	92	290
scaffold_75	183340	31621223	172.47	52	643
scaffold_75_region	79992	15652407	195.67	65	281
scaffold_76	182642	23724802	129.90	54	1022
scaffold_76_region	58855	6571244	111.65	54	174
scaffold_77	181543	32581514	179.47	40	362
scaffold_77_region	67384	14124685	209.61	80	286
scaffold_78	181022	23177944	128.04	41	1133
scaffold_78_region	92466	10401241	112.49	56	220
scaffold_79	180378	37776222	209.43	31	684
scaffold_79_region	61394	13578176	221.16	97	560
scaffold_80	180151	20056687	111.33	8	292
scaffold_80_region	40865	4598914	112.54	62	159
scaffold_81	180027	37348658	207.46	26	427
scaffold_81_region	50300	11696280	232.53	26	320
scaffold_82	179213	19343914	107.94	48	168
scaffold_82_region	95049	10315415	108.53	48	168
scaffold_83	178484	42254554	236.74	9	879
scaffold_83_region	52520	13417925	255.48	14	363
scaffold_84	178273	22745125	127.59	20	489
scaffold_84_region	41103	4761278	115.84	26	470
scaffold_85	178075	40430627	227.04	32	4526
scaffold_85_region	65113	13857579	212.82	102	288
scaffold_86	178047	26073909	146.44	73	328
scaffold_86_region	58617	8469559	144.49	78	214
scaffold_87	177289	24338229	137.28	4	341
scaffold_87_region	57333	9373569	163.49	22	265
scaffold_88	176781	34317047	194.12	49	1249
scaffold_88_region	48989	8828694	180.22	49	294
scaffold_89	176663	24430249	138.29	49	1522
scaffold_89_region	38173	3804599	99.67	49	150
scaffold_90	176536	30047564	170.21	33	514
scaffold_90_region	66016	13289810	201.31	64	466
scaffold_91	176312	37775897	214.26	42	986
scaffold_91_region	58344	13376011	229.26	97	361
scaffold_92	175583	38161614	217.34	49	674
scaffold_92_region	61285	14971473	244.29	56	381
scaffold_93	175281	32829394	187.30	11	459
scaffold_93_region	80383	16888923	210.11	11	304
scaffold_94	174871	29384341	168.03	29	375
scaffold_94_region	64866	10664855	164.41	68	228
scaffold_95	173419	21807084	125.75	13	1814
scaffold_95_region	51013	5286101	103.62	55	155
scaffold_96	173074	62831442	363.03	13	9153
scaffold_96_region	45442	16006218	352.23	48	9153
scaffold_97	172649	30363366	175.87	55	506
scaffold_97_region	71284	11960905	167.79	97	241
scaffold_98	172586	25282500	146.49	11	357
scaffold_98_region	80612	12345456	153.15	68	215
scaffold_99	172544	21637177	125.40	49	1079
scaffold_99_region	46496	4858324	104.49	51	163
scaffold_100	172446	35183535	204.03	23	1487
scaffold_100_region	78431	16003378	204.04	37	326
scaffold_101	172275	37917527	220.10	19	356
scaffold_101_region	73500	19122002	260.16	140	324
scaffold_102	171613	30371798	176.98	40	427
scaffold_102_region	51219	10344768	201.97	66	357
scaffold_103	171533	39582121	230.76	28	601
scaffold_103_region	59885	16008307	267.32	124	598
scaffold_104	171030	36609220	214.05	28	402
scaffold_104_region	89410	20524383	229.55	116	338
scaffold_105	170903	24900082	145.70	25	232
scaffold_105_region	75282	11987734	159.24	60	232
scaffold_106	169885	29179091	171.76	51	661
scaffold_106_region	51836	8452021	163.05	67	217
scaffold_107	169371	31020265	183.15	16	1193
scaffold_107_region	37710	6027577	159.84	53	225
scaffold_108	168834	18765120	111.15	11	299
scaffold_108_region	9484	1054401	111.18	61	191
scaffold_109	168488	26764047	158.85	11	492
scaffold_109_region	42766	8041177	188.03	57	280
scaffold_110	168042	22075784	131.37	43	5910
scaffold_110_region	48122	5038563	104.70	50	159
scaffold_111	168003	26058796	155.11	36	257
scaffold_111_region	72501	12041423	166.09	73	235
scaffold_112	167007	36392959	217.91	25	22439
scaffold_112_region	5460	893422	163.63	64	217
scaffold_113	166294	19605386	117.90	14	288
scaffold_113_region	51028	5415258	106.12	48	156
scaffold_114	165975	32231329	194.19	49	560
scaffold_114_region	30295	7492930	247.33	89	553
scaffold_115	164146	30505476	185.84	23	450
scaffold_115_region	54118	11425349	211.12	89	390
scaffold_116	164131	37590246	229.03	48	834
scaffold_116_region	43819	10835308	247.27	71	674
scaffold_117	163749	28776721	175.74	52	2043
scaffold_117_region	49693	5692216	114.55	52	163
scaffold_118	162657	26792219	164.72	69	341
scaffold_118_region	20705	3113771	150.39	92	203
scaffold_119	162364	36665767	225.82	23	461
scaffold_119_region	48509	12964027	267.25	159	357
scaffold_120	161998	36910180	227.84	32	445
scaffold_120_region	25710	6012575	233.86	135	298
scaffold_121	161866	33406759	206.39	16	1028
scaffold_121_region	39579	7840958	198.11	52	309
scaffold_122	161638	27730454	171.56	21	317
scaffold_122_region	69809	14056626	201.36	91	270
scaffold_123	161573	47188663	292.06	74	1192
scaffold_123_region	44849	11970489	266.91	124	419
scaffold_124	161247	17767281	110.19	0	305
scaffold_124_region	42248	4531121	107.25	58	147
scaffold_125	161229	28426690	176.31	58	968
scaffold_125_region	69258	14551561	210.11	94	291
scaffold_126	160813	30104158	187.20	24	868
scaffold_126_region	57354	10926755	190.51	65	277
scaffold_127	160184	22361968	139.60	48	1176
scaffold_127_region	90602	10009686	110.48	52	176
scaffold_128	160168	40086591	250.28	18	3814
scaffold_128_region	48129	8666150	180.06	74	265
scaffold_129	160097	20788066	129.85	27	884
scaffold_129_region	17089	1851445	108.34	53	159
scaffold_130	159856	18687797	116.90	0	295
scaffold_130_region	49187	5448565	110.77	51	159
scaffold_131	158669	18291284	115.28	33	273
scaffold_131_region	22932	2413457	105.24	55	147
scaffold_132	158516	32370815	204.21	17	514
scaffold_132_region	37791	7646479	202.34	55	285
scaffold_133	158504	25843539	163.05	48	570
scaffold_133_region	45697	8446348	184.83	48	268
scaffold_134	158013	17589500	111.32	51	258
scaffold_134_region	39874	4281511	107.38	51	225
scaffold_135	157864	42759785	270.86	38	896
scaffold_135_region	66791	17108789	256.15	115	378
scaffold_136	157824	53995644	342.13	172	678
scaffold_136_region	57760	19133915	331.27	199	404
scaffold_137	157610	26863693	170.44	14	463
scaffold_137_region	42946	7192484	167.48	74	243
scaffold_138	157485	201642467	1280.39	21	6015
scaffold_138_region	5059	7322263	1447.37	955	1704
scaffold_139	157454	28765152	182.69	82	800
scaffold_139_region	30635	5147492	168.03	82	224
scaffold_140	157188	37744317	240.12	108	419
scaffold_140_region	27595	8110758	293.92	118	391
scaffold_141	156972	25951895	165.33	49	594
scaffold_141_region	30983	4374599	141.19	49	221
scaffold_142	156200	18688632	119.65	19	340
