scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	1819.883841	1703.406660	730.515621	802.572519	116.477181	1089.368219	1017.311321
scaffold_2	3157.717780	1634.011826	2603.531524	2098.849432	1523.705955	554.186256	1058.868348
scaffold_3	3407.864181	1382.674710	2409.425538	2909.895608	2025.189470	998.438643	497.968573
scaffold_4	1942.929616	857.671233	1147.244792	549.304640	1085.258383	795.684824	1393.624976
scaffold_5	9695.048920	9247.616592	5317.544430	5062.474000	447.432328	4377.504490	4632.574920
scaffold_6	3420.978353	124.612635	1469.830079	2900.829827	3296.365718	1951.148274	520.148527
scaffold_7	44202.223981	1670.847913	1534.562761	1459.735049	42531.376069	42667.661220	42742.488932
scaffold_8	2402.297190	2128.695550	895.498506	1335.746820	273.601640	1506.798683	1066.550370
scaffold_9	2703.218710	140.478614	798.717121	2117.612940	2562.740096	1904.501589	585.605770
scaffold_10	-nan	-376.125923	526.176542	3652.172902	-nan	-nan	-nan
scaffold_11	6569.659487	1276.713046	1116.404156	966.615061	5292.946441	5453.255331	5603.044427
scaffold_12	11765.168043	2898.735729	8304.425554	9287.555008	8866.432314	3460.742489	2477.613035
scaffold_13	1307.481681	835.269353	746.542473	843.194625	472.212328	560.939208	464.287056
scaffold_14	1742.244453	788.129299	809.931125	1300.915526	954.115155	932.313329	441.328927
scaffold_15	1726.021310	1436.495625	906.249594	728.038104	289.525685	819.771716	997.983206
scaffold_16	420.104898	162.206112	344.455664	363.687943	257.898786	75.649234	56.416955
scaffold_17	1860.565799	743.439659	1523.918640	1398.483247	1117.126140	336.647159	462.082553
scaffold_18	12092.279024	3159.976415	9790.600072	8627.143776	8932.302609	2301.678953	3465.135249
scaffold_19	8141.770691	1820.652781	6138.918823	7173.488877	6321.117910	2002.851868	968.281814
scaffold_20	9172.692406	2363.982246	6388.112111	7397.984180	6808.710160	2784.580295	1774.708226
scaffold_21	495.860070	409.959232	370.047393	310.525656	85.900838	125.812677	185.334414
scaffold_22	1690.415386	655.558233	579.000423	1324.923678	1034.857152	1111.414963	365.491707
scaffold_23	1290.579978	90.492827	401.227749	1086.580618	1200.087151	889.352229	203.999360
scaffold_24	10451.433697	10083.412826	4614.908997	5481.289781	368.020871	5836.524701	4970.143916
scaffold_25	2227.359318	1035.450427	1863.984775	1625.056314	1191.908891	363.374543	602.303004
scaffold_26	4100.234224	-193.375573	603.086322	2818.221993	4293.609798	3497.147903	1282.012232
scaffold_27	864.489904	370.498412	1047.168011	1078.048811	493.991491	-182.678107	-213.558907
scaffold_28	920.242042	517.221371	704.383502	674.538112	403.020671	215.858540	245.703930
scaffold_29	5490.230175	-43.353093	1899.388152	4900.091320	5533.583268	3590.842023	590.138855
scaffold_30	9027.098194	8645.795721	5062.097884	4701.333659	381.302473	3965.000310	4325.764535
scaffold_31	438.919935	292.289939	270.597716	347.587637	146.629996	168.322218	91.332298
scaffold_32	5260.285119	825.698377	1241.572312	3219.863729	4434.586742	4018.712807	2040.421391
scaffold_33	19337.387779	339.419730	1369.345015	1287.216865	18997.968049	17968.042764	18050.170914
scaffold_34	1188.560395	94.593032	529.318567	1123.556537	1093.967363	659.241829	65.003858
scaffold_35	2494.132111	1730.575869	1727.739483	1201.475922	763.556242	766.392629	1292.656190
scaffold_36	9214.724192	413.323977	3705.545092	8530.757817	8801.400215	5509.179100	683.966375
scaffold_37	2820.219712	2161.948452	908.420413	1226.386877	658.271261	1911.799299	1593.832835
scaffold_38	2780.091301	113.504595	1280.134810	2255.756288	2666.586706	1499.956491	524.335013
scaffold_39	2703.288436	2503.475705	1600.963686	1453.049416	199.812730	1102.324750	1250.239019
scaffold_40	893.825954	112.238519	589.696768	697.067117	781.587435	304.129186	196.758837
scaffold_41	9514.759827	-491.375711	1036.588789	5808.712985	10006.135538	8478.171038	3706.046842
scaffold_42	10213.275960	261.829054	305.372166	531.016083	9951.446905	9907.903793	9682.259877
scaffold_43	71557.667468	419.063148	333.526017	364.133891	71138.604320	71224.141451	71193.533577
scaffold_44	2432.806200	669.592463	1495.135380	1652.408379	1763.213737	937.670820	780.397821
scaffold_45	908.358742	887.218068	611.219261	480.329597	21.140674	297.139481	428.029145
scaffold_46	1115.754294	708.340622	824.630288	360.326972	407.413672	291.124006	755.427322
scaffold_47	636.406521	386.156223	597.491675	497.867337	250.250299	38.914846	138.539184
scaffold_48	3041.372418	2590.830798	2122.586330	1395.888079	450.541621	918.786089	1645.484339
scaffold_49	1829.822354	219.112391	1255.519551	1320.200810	1610.709963	574.302803	509.621544
scaffold_50	3366.540350	2993.851912	2671.876464	1931.358544	372.688438	694.663886	1435.181806
scaffold_51	2237.660895	762.596331	856.001176	1354.466522	1475.064564	1381.659719	883.194373
scaffold_52	1429.920084	584.211541	1061.463216	578.099249	845.708543	368.456868	851.820835
scaffold_53	1669.136474	1471.286624	1373.863282	997.026498	197.849851	295.273192	672.109976
scaffold_54	8707.937856	-100.769343	1978.468563	7314.007069	8808.707199	6729.469293	1393.930787
scaffold_55	1064.403455	839.886103	459.008684	599.195699	224.517352	605.394771	465.207756
scaffold_56	1928.935061	1577.561824	1364.791103	873.087549	351.373237	564.143958	1055.847512
scaffold_57	497.567151	-55.243415	51.099738	315.103627	552.810566	446.467413	182.463524
scaffold_58	3040.182257	2312.297703	1423.008167	1420.282170	727.884554	1617.174090	1619.900087
scaffold_59	1476.446480	1105.492315	1222.613992	662.658291	370.954165	253.832488	813.788189
scaffold_60	1239.668274	234.459620	581.293123	1177.281701	1005.208655	658.375151	62.386573
scaffold_61	8392.223285	-472.746874	1818.658466	5763.320371	8864.970159	6573.564820	2628.902914
scaffold_62	34253.790196	1454.999080	4583.249461	3822.881826	32798.791117	29670.540735	30430.908371
scaffold_63	2343.729205	159.693631	851.393803	2126.352136	2184.035574	1492.335401	217.377069
scaffold_64	1670.386669	105.164796	778.195111	1521.306541	1565.221874	892.191559	149.080129
scaffold_65	4361.014996	3512.672323	2381.019791	2171.799154	848.342673	1979.995205	2189.215842
scaffold_66	319.731960	167.966429	255.204006	176.899470	151.765532	64.527954	142.832490
scaffold_67	5349.653969	1320.464956	2335.001552	5018.117007	4029.189012	3014.652417	331.536962
scaffold_68	4503.208725	3459.468788	4018.443633	2411.084472	1043.739937	484.765093	2092.124253
scaffold_69	1704.717055	210.708368	637.559810	1522.543018	1494.008687	1067.157245	182.174037
scaffold_70	434.646989	41.355481	187.973176	310.125971	393.291509	246.673814	124.521018
scaffold_71	655.369830	123.967338	188.644473	443.980642	531.402493	466.725358	211.389188
scaffold_72	898.466542	467.503573	375.211944	525.688189	430.962969	523.254598	372.778352
scaffold_73	880.320963	236.711684	665.548017	558.734387	643.609279	214.772946	321.586576
scaffold_74	650.571399	586.045603	401.383453	377.359953	64.525797	249.187947	273.211447
scaffold_75	4714.770609	1810.324516	3486.896900	1424.261646	2904.446093	1227.873709	3290.508963
scaffold_76	945.264759	375.167774	436.537161	881.605242	570.096986	508.727599	63.659517
scaffold_77	4745.070041	3617.596182	2164.922607	1560.001155	1127.473858	2580.147434	3185.068886
scaffold_78	918.458177	255.009700	517.331208	952.661815	663.448477	401.126969	-34.203638
scaffold_79	1121.532904	402.726020	395.997892	933.010216	718.806884	725.535011	188.522688
scaffold_80	1375.688167	373.194301	800.938341	1120.435020	1002.493866	574.749826	255.253147
scaffold_81	1440.105617	434.306135	658.989736	1261.638714	1005.799482	781.115881	178.466904
scaffold_82	909.398013	43.500131	421.817476	662.218472	865.897882	487.580537	247.179541
scaffold_83	2035.239050	1480.755822	1639.061322	1364.578739	554.483228	396.177727	670.660311
scaffold_84	4076.074011	925.708351	3158.358115	3285.796781	3150.365660	917.715895	790.277229
scaffold_85	855.755100	156.787803	311.260147	652.600708	698.967297	544.494953	203.154392
scaffold_86	1565.036825	263.879551	1144.980343	1243.420813	1301.157274	420.056482	321.616012
scaffold_87	1090.605382	-1.558924	447.819154	955.257273	1092.164306	642.786228	135.348109
scaffold_88	3825.331463	2620.340808	2227.660776	1127.823196	1204.990654	1597.670687	2697.508266
scaffold_89	816.692395	686.845085	407.291077	396.736979	129.847310	409.401319	419.955416
scaffold_90	2792.036109	1917.587470	1155.407201	1724.366158	874.448638	1636.628908	1067.669950
scaffold_91	1190.038706	153.360257	852.951307	868.188512	1036.678449	337.087399	321.850194
scaffold_92	5370.750817	1533.647719	4779.557232	1598.380623	3837.103098	591.193585	3772.370194
scaffold_93	762.364877	336.057764	755.021089	450.324763	426.307112	7.343788	312.040113
scaffold_94	4145.955984	494.518278	2007.689735	3794.997772	3651.437706	2138.266249	350.958212
scaffold_95	1751.853424	472.617381	1176.828854	702.518181	1279.236043	575.024569	1049.335243
scaffold_96	2074.263440	1758.476007	1183.472440	1119.349329	315.787433	890.791001	954.914111
scaffold_97	2352.028887	80.316654	1054.019043	1793.083524	2271.712233	1298.009844	558.945364
scaffold_98	22386.412497	1311.036354	4177.159974	2280.519149	21075.376143	18209.252523	20105.893347
scaffold_99	620.683533	333.420245	511.664434	305.104833	287.263288	109.019099	315.578700
scaffold_100	4488.742665	426.573631	1861.483861	3823.691996	4062.169034	2627.258804	665.050669
scaffold_101	2023.678441	32.204518	849.914636	1808.586885	1991.473924	1173.763805	215.091557
scaffold_102	867.493439	795.350862	470.177309	447.601552	72.142577	397.316130	419.891887
scaffold_103	1479.215923	448.296814	843.926589	1289.389666	1030.919110	635.289335	189.826257
scaffold_104	734.521710	11.882167	207.459758	532.003902	722.639543	527.061952	202.517808
scaffold_105	4633.906374	-428.130615	820.208210	3513.829707	5062.036989	3813.698164	1120.076667
scaffold_106	-636.901277	1766.190702	2703.969711	1458.697057	-2403.091980	-3340.870989	-2095.598335
scaffold_107	1812.046559	1537.316847	1053.906793	848.546256	274.729713	758.139767	963.500303
scaffold_108	1382.577187	866.287277	696.097347	398.508985	516.289910	686.479840	984.068202
scaffold_109	7307.122008	643.956258	1570.069724	5179.118839	6663.165751	5737.052285	2128.003170
scaffold_110	237026.225613	-22.144600	300.944164	237067.346679	237048.370213	236725.281448	-41.121066
scaffold_111	677.894800	574.637556	461.352044	334.293334	103.257244	216.542755	343.601466
scaffold_112	1731.472689	51.477755	600.832585	1558.150233	1679.994933	1130.640104	173.322456
scaffold_113	1476.465329	562.184647	1264.816884	671.358906	914.280681	211.648445	805.106423
scaffold_114	1304.133222	-55.751667	229.554028	966.891277	1359.884890	1074.579195	337.241946
scaffold_115	477.057847	202.436460	383.915366	421.433197	274.621387	93.142481	55.624650
scaffold_116	622.918189	205.104684	298.166773	391.104230	417.813505	324.751416	231.813959
scaffold_117	1237.337410	101.152553	344.548140	678.867885	1136.184857	892.789269	558.469524
scaffold_118	200.211099	99.034612	118.391865	120.448881	101.176487	81.819234	79.762217
scaffold_119	6960.512332	862.331577	4438.310225	6161.495375	6098.180754	2522.202106	799.016956
scaffold_120	1439.200587	116.504425	635.567327	1358.058001	1322.696162	803.633260	81.142586
scaffold_121	1915.532458	1718.855786	733.194473	1055.203097	196.676672	1182.337985	860.329361
scaffold_122	3481.688154	475.680702	1791.747829	2972.677696	3006.007452	1689.940325	509.010457
scaffold_123	548.689025	384.485753	250.665971	284.548435	164.203272	298.023055	264.140590
scaffold_124	2559.960845	24.032075	1115.782281	2320.495588	2535.928771	1444.178564	239.465257
scaffold_125	2425.425538	647.373617	427.543543	398.463935	1778.051920	1997.881994	2026.961603
scaffold_126	1583.947584	332.001641	549.733556	743.170249	1251.945942	1034.214028	840.777335
scaffold_127	1465.432452	95.278181	414.159806	1261.471002	1370.154272	1051.272646	203.961450
scaffold_128	3074.654186	437.728664	1939.235722	2785.145070	2636.925522	1135.418464	289.509116
scaffold_129	1481.944403	227.964518	1069.224614	1195.859769	1253.979885	412.719789	286.084634
scaffold_130	8224.758930	520.306141	373.036224	357.304146	7704.452790	7851.722706	7867.454784
scaffold_131	1141.658812	64.482850	483.441210	1081.897855	1077.175962	658.217602	59.760957
scaffold_132	2757.756113	1241.943709	2305.986012	693.603724	1515.812404	451.770101	2064.152389
scaffold_133	1430.142498	95.144659	656.045416	1060.128325	1334.997839	774.097083	370.014173
scaffold_134	686.539317	-104.513927	36.378257	455.698350	791.053244	650.161060	230.840968
scaffold_135	1246.862685	-12.949057	428.567969	1111.460124	1259.811742	818.294716	135.402561
scaffold_136	1173.562291	382.442575	768.252624	1070.030852	791.119715	405.309667	103.531438
scaffold_137	3859.983291	1506.335759	3539.942805	1339.149534	2353.647532	320.040486	2520.833758
scaffold_138	3896.784530	354.121356	1906.611908	3570.580352	3542.663174	1990.172621	326.204178
scaffold_139	65052.041624	752.703760	326.773529	441.150102	64299.337863	64725.268095	64610.891522
scaffold_140	1405.879877	-39.263686	468.430484	1162.601566	1445.143564	937.449394	243.278312
scaffold_141	1407.766685	145.089977	819.115850	1291.536552	1262.676708	588.650834	116.230133
scaffold_142	1932.318075	-34.428970	623.179313	1736.488361	1966.747046	1309.138762	195.829714
scaffold_143	787.871513	610.875230	453.113507	435.669206	176.996283	334.758006	352.202307
scaffold_144	2001.365317	664.778130	757.482351	1842.097073	1336.587187	1243.882966	159.268244
scaffold_145	424.032219	185.045289	239.404660	297.432740	238.986930	184.627559	126.599478
scaffold_146	325.148132	-36.801694	47.531932	236.202996	361.949826	277.616200	88.945135
scaffold_147	1099.271503	943.128336	855.301392	643.066249	156.143166	243.970110	456.205253
scaffold_148	1987.640403	-194.350115	351.526526	1451.608218	2181.990518	1636.113877	536.032185
scaffold_149	483299.577238	654.401924	1829.623104	6009.507654	482645.175315	481469.954135	477290.069584
scaffold_150	3029.749110	2326.453695	2120.076008	1747.637265	703.295415	909.673102	1282.111845
scaffold_151	5225.463690	1467.104122	3980.097464	3027.958574	3758.359569	1245.366227	2197.505117
scaffold_152	1410.029479	403.952051	961.686190	1162.293957	1006.077429	448.343289	247.735522
scaffold_153	2078.884257	356.764280	1613.584445	1243.856789	1722.119977	465.299812	835.027468
